Geographic Level,Location,Year,Total Population,Household Population,Group Quarters Population,Total Housing Units,Single Family Units,Multiple Family Units,Mobile Homes,Occupied Units,Vacancy Rate (%),Persons Per Household,Single Family Detached Units,Single Family Attached Units,Two to Four Family Units,Five Plus Family Units,Vacant Units,Source
City,Adelanto,1991,7123,7121,2,2788,1110,1294,384,2471,11.370157819225252,2.8818292189397003,,,,,317,E-8
City,Adelanto,1992,8433,8008,425,3066,1375,1278,413,2696,12.06784083496412,2.970326409495549,,,,,370,E-8
City,Adelanto,1993,10676,10279,397,3881,2195,1262,424,3400,12.39371296057717,3.0232352941176472,,,,,481,E-8
City,Adelanto,1994,12708,12273,435,4447,2738,1246,463,3881,12.727681583089725,3.162329296573048,,,,,566,E-8
City,Adelanto,1995,14102,13662,440,5015,3318,1230,467,4364,12.981056829511465,3.130614115490376,,,,,651,E-8
City,Adelanto,1996,14796,14352,444,5185,3502,1212,471,4493,13.34619093539055,3.1943022479412417,,,,,692,E-8
City,Adelanto,1997,15514,15077,437,5345,3677,1193,475,4611,13.73246024321796,3.269789633485144,,,,,734,E-8
City,Adelanto,1998,16296,15656,640,5465,3810,1177,478,4695,14.089661482159194,3.334611288604899,,,,,770,E-8
City,Adelanto,1999,17532,16150,1382,5537,3890,1161,486,4735,14.484377821925229,3.410770855332629,,,,,802,E-8
City,Adelanto,2000,18125,16542,1583,5548,3913,1145,490,4721,14.906272530641672,3.503918661300572,,,,,827,E-8
City,Adelanto,2001,18512,16955,1557,5575,3946,1140,489,4745,14.887892376681611,3.5732349841938884,,,,,830,E-8
City,Adelanto,2002,19327,17806,1521,5711,4079,1138,494,4869,14.74347749956225,3.6570137605257753,,,,,842,E-8
City,Adelanto,2003,20326,18789,1537,5912,4277,1142,493,5050,14.580514208389715,3.720594059405941,,,,,862,E-8
City,Adelanto,2004,22528,20706,1822,6411,4696,1227,488,5483,14.475120885977228,3.776399781141711,,,,,928,E-8
City,Adelanto,2005,24855,22950,1905,7047,5333,1231,483,6032,14.40329218106996,3.804708222811671,,,,,1015,E-8
City,Adelanto,2006,26617,25128,1489,7722,6016,1227,479,6614,14.34861434861435,3.7992137889325672,,,,,1108,E-8
City,Adelanto,2007,29181,27631,1550,8560,6856,1230,474,7292,14.813084112149532,3.789221064179923,,,,,1268,E-8
City,Adelanto,2008,30526,28752,1774,8840,7140,1232,468,7579,14.26470588235294,3.793640321942209,,,,,1261,E-8
City,Adelanto,2009,31087,29241,1846,8952,7252,1236,464,7683,14.175603217158178,3.805935181569699,,,,,1269,E-8
City,Adelanto,2010,31765,30012,1753,9086,7387,1241,458,7809,14.054589478318292,3.843257779485209,7184.0,203.0,468.0,773.0,1277,E-8
City,Adelanto,2011,31910,30544,1366,9135,7439,1240,456,7890,13.628899835796382,3.871229404309252,7235.0,204.0,467.0,773.0,1245,E-8
City,Adelanto,2012,31567,31171,396,9203,7510,1239,454,8027,12.778441812452456,3.88326896723558,7306.0,204.0,466.0,773.0,1176,E-8
City,Adelanto,2013,32348,31963,385,9238,7548,1238,452,8239,10.814029010608362,3.879475664522393,7343.0,205.0,465.0,773.0,999,E-8
City,Adelanto,2014,33819,32392,1427,9285,7598,1237,450,8359,9.97307485191169,3.8751046775930136,7392.0,206.0,464.0,773.0,926,E-8
City,Adelanto,2015,34570,32934,1636,9347,7663,1236,448,8471,9.371991013159295,3.8878526738283554,7457.0,206.0,463.0,773.0,876,E-8
City,Adelanto,2016,35216,33777,1439,9458,7777,1235,446,8704,7.9720871220131055,3.880629595588236,7570.0,207.0,462.0,773.0,754,E-8
City,Adelanto,2017,36078,34035,2043,9457,7779,1234,444,8780,7.158718409643649,3.8764236902050113,7571.0,208.0,461.0,773.0,677,E-8
City,Adelanto,2018,36609,34648,1961,9538,7863,1233,442,8972,5.934158104424403,3.8617922425323226,7655.0,208.0,460.0,773.0,566,E-8
City,Adelanto,2019,36882,34945,1937,9539,7867,1232,440,9060,5.021490722297939,3.857064017660045,7658.0,209.0,459.0,773.0,479,E-8
City,Adelanto,2020,36620,35312,1308,9601,7933,1231,437,9185,4.33,3.84452912357104,7723.0,210.0,458.0,773.0,416,E-8
City,Agoura Hills,1991,20368,20366,2,6978,6139,831,8,6673,4.370879908283175,3.052000599430541,,,,,305,E-8
City,Agoura Hills,1992,20491,20487,4,7013,6179,827,7,6728,4.063881363182661,3.045035671819263,,,,,285,E-8
City,Agoura Hills,1993,20533,20527,6,7014,6184,823,7,6748,3.792415169660679,3.041938352104327,,,,,266,E-8
City,Agoura Hills,1994,20403,20394,9,7016,6191,819,6,6770,3.506271379703535,3.0124076809453477,,,,,246,E-8
City,Agoura Hills,1995,20228,20217,11,7014,6194,815,5,6788,3.222127174222983,2.9783441367118444,,,,,226,E-8
City,Agoura Hills,1996,20130,20117,13,7009,6194,811,4,6803,2.9390783278641743,2.957077759811848,,,,,206,E-8
City,Agoura Hills,1997,20113,20097,16,7004,6194,807,3,6819,2.641347801256425,2.947206335239771,,,,,185,E-8
City,Agoura Hills,1998,20174,20156,18,6999,6194,803,2,6835,2.3431918845549364,2.9489392831016823,,,,,164,E-8
City,Agoura Hills,1999,20285,20265,20,6995,6195,799,1,6851,2.058613295210865,2.957962341264049,,,,,144,E-8
City,Agoura Hills,2000,20480,20458,22,6993,6198,795,0,6869,1.773201773201773,2.9783083418255933,,,,,124,E-8
City,Agoura Hills,2001,20519,20491,28,6994,6205,787,2,6866,1.8301401201029452,2.984415962714827,,,,,128,E-8
City,Agoura Hills,2002,21001,20967,34,7174,6232,938,4,7030,2.0072483969891275,2.982503556187767,,,,,144,E-8
City,Agoura Hills,2003,20986,20945,41,7200,6265,929,6,7043,2.180555555555556,2.973874769274457,,,,,157,E-8
City,Agoura Hills,2004,20850,20803,47,7205,6277,920,8,7035,2.359472588480222,2.9570717839374554,,,,,170,E-8
City,Agoura Hills,2005,21624,21570,54,7544,6287,1247,10,7355,2.5053022269353127,2.932698844323589,,,,,189,E-8
City,Agoura Hills,2006,21292,21232,60,7548,6297,1238,13,7346,2.676205617382088,2.8902804247209364,,,,,202,E-8
City,Agoura Hills,2007,20995,20928,67,7554,6306,1233,15,7339,2.8461742123378344,2.8516146613980107,,,,,215,E-8
City,Agoura Hills,2008,20770,20697,73,7576,6317,1242,17,7348,3.009503695881732,2.8166848121937944,,,,,228,E-8
City,Agoura Hills,2009,20569,20489,80,7581,6329,1233,19,7340,3.17900013190872,2.79141689373297,,,,,241,E-8
City,Agoura Hills,2010,20330,20242,88,7585,6341,1222,22,7327,3.401450230718528,2.762658659751604,5322.0,1019.0,171.0,1051.0,258,E-8
City,Agoura Hills,2011,20419,20329,90,7585,6342,1221,22,7332,3.335530652603824,2.7726404800872886,5321.0,1021.0,171.0,1050.0,253,E-8
City,Agoura Hills,2012,20514,20422,92,7584,6342,1220,22,7337,3.256856540084385,2.78342646858389,5319.0,1023.0,171.0,1049.0,247,E-8
City,Agoura Hills,2013,20574,20480,94,7582,6341,1219,22,7343,3.152202585069908,2.789050796677107,5315.0,1026.0,171.0,1048.0,239,E-8
City,Agoura Hills,2014,20588,20492,96,7580,6340,1218,22,7347,3.0738786279683405,2.78916564584184,5312.0,1028.0,171.0,1047.0,233,E-8
City,Agoura Hills,2015,20624,20526,98,7595,6352,1221,22,7368,2.9888084265964454,2.785830618892508,5322.0,1030.0,171.0,1050.0,227,E-8
City,Agoura Hills,2016,20600,20500,100,7608,6366,1221,21,7388,2.8916929547844417,2.774769897130482,5333.0,1033.0,171.0,1050.0,220,E-8
City,Agoura Hills,2017,20532,20430,102,7609,6369,1219,21,7395,2.812458930214224,2.762677484787018,5334.0,1035.0,171.0,1048.0,214,E-8
City,Agoura Hills,2018,20443,20339,104,7609,6370,1218,21,7402,2.7204626100670204,2.747770872737098,5333.0,1037.0,171.0,1047.0,207,E-8
City,Agoura Hills,2019,20327,20221,106,7617,6363,1233,21,7417,2.625705658395694,2.7263044357556963,5322.0,1041.0,178.0,1055.0,200,E-8
City,Agoura Hills,2020,20232,20128,104,7621,6366,1234,21,7427,2.55,2.7101117544095867,5322.0,1044.0,180.0,1054.0,194,E-8
City,Alameda,1991,74577,69179,5398,30815,15188,15587,40,29451,4.426415706636378,2.3489524973685105,,,,,1364,E-8
City,Alameda,1992,76890,71453,5437,31175,15367,15740,68,29863,4.2085004009623095,2.3926932994005963,,,,,1312,E-8
City,Alameda,1993,77142,72194,4948,31234,15505,15633,96,29907,4.248575270538516,2.413949911391982,,,,,1327,E-8
City,Alameda,1994,78515,72964,5551,31270,15627,15519,124,30116,3.6904381196034537,2.4227653074777526,,,,,1154,E-8
City,Alameda,1995,77261,72069,5192,31273,15732,15389,152,30111,3.715665270361014,2.3934442562518683,,,,,1162,E-8
City,Alameda,1996,77196,72019,5177,31277,15856,15240,181,30202,3.43703040572945,2.384577180319184,,,,,1075,E-8
City,Alameda,1997,75277,73268,2009,31368,16065,15094,209,30408,3.0604437643458304,2.409497500657721,,,,,960,E-8
City,Alameda,1998,71230,70112,1118,31523,16340,14946,237,29828,5.377026298258414,2.350543113852756,,,,,1695,E-8
City,Alameda,1999,71624,70550,1074,31610,16541,14804,265,29964,5.207212907307814,2.354492057135229,,,,,1646,E-8
City,Alameda,2000,72398,71317,1081,31622,16667,14662,293,30183,4.550629308709127,2.3628201305370573,,,,,1439,E-8
City,Alameda,2001,72529,71665,864,31868,16862,14719,287,30357,4.741433412827916,2.360740521131864,,,,,1511,E-8
City,Alameda,2002,72749,71813,936,31919,16879,14770,270,30292,5.097277483630439,2.370691931863198,,,,,1627,E-8
City,Alameda,2003,72612,71584,1028,32011,16942,14817,252,30166,5.76364374746181,2.373002718292117,,,,,1845,E-8
City,Alameda,2004,71980,70908,1072,31524,16436,14853,235,30067,4.621875396523284,2.358333056174544,,,,,1457,E-8
City,Alameda,2005,71727,70537,1190,31662,16513,14931,218,30086,4.977575642726297,2.3445123977929936,,,,,1576,E-8
City,Alameda,2006,71558,70312,1246,31791,16630,14960,201,30096,5.331697650278381,2.3362573099415203,,,,,1695,E-8
City,Alameda,2007,72031,70785,1246,32011,16794,15034,183,30195,5.673049889100621,2.344262295081968,,,,,1816,E-8
City,Alameda,2008,72598,71275,1323,32164,16933,15065,166,30228,6.019151846785226,2.3579131930660315,,,,,1936,E-8
City,Alameda,2009,73166,71766,1400,32253,17007,15097,149,30199,6.368399838774688,2.3764363058379416,,,,,2054,E-8
City,Alameda,2010,73812,72316,1496,32351,17047,15177,127,30123,6.886958672065779,2.40069050227401,13700.0,3347.0,5826.0,9351.0,2228,E-8
City,Alameda,2011,74211,72623,1588,32298,17014,15158,126,30052,6.953990959192524,2.416577931585252,13660.0,3354.0,5810.0,9348.0,2246,E-8
City,Alameda,2012,74974,73356,1618,32401,17139,15136,126,30054,7.243603592481717,2.4408065482132164,13775.0,3364.0,5794.0,9342.0,2347,E-8
City,Alameda,2013,76131,74580,1551,32387,17145,15117,125,30364,6.246333405378701,2.4561981293637203,13772.0,3373.0,5778.0,9339.0,2023,E-8
City,Alameda,2014,76509,74968,1541,32374,17153,15097,124,30309,6.378575400012354,2.4734567290243823,13770.0,3383.0,5763.0,9334.0,2065,E-8
City,Alameda,2015,77146,75673,1473,32368,17168,15076,124,30314,6.345773603559069,2.496305337467837,13773.0,3395.0,5747.0,9329.0,2054,E-8
City,Alameda,2016,78912,77324,1588,32679,17305,15251,123,30744,5.92123381988433,2.5150923757481136,13899.0,3406.0,5739.0,9512.0,1935,E-8
City,Alameda,2017,79231,77628,1603,32765,17413,15230,122,30822,5.930108347321839,2.518590617091688,13942.0,3471.0,5723.0,9507.0,1943,E-8
City,Alameda,2018,79129,77524,1605,32875,17450,15303,122,30926,5.928517110266163,2.506758067645347,13969.0,3481.0,5800.0,9503.0,1949,E-8
City,Alameda,2019,79149,77534,1615,32994,17467,15406,121,31054,5.879856943686734,2.4967476009531784,13975.0,3492.0,5840.0,9566.0,1940,E-8
City,Alameda,2020,78397,76769,1628,33009,17490,15399,120,30980,6.15,2.4780180761781794,13975.0,3515.0,5841.0,9558.0,2029,E-8
City,Albany,1991,16273,16237,36,7456,3956,3498,2,7183,3.6614806866952794,2.2604761241820968,,,,,273,E-8
City,Albany,1992,16382,16338,44,7430,3956,3471,3,7161,3.620457604306864,2.281524926686217,,,,,269,E-8
City,Albany,1993,16742,16702,40,7405,3952,3450,3,7140,3.5786630654962863,2.33921568627451,,,,,265,E-8
City,Albany,1994,16679,16640,39,7385,3951,3430,4,7123,3.5477318889641167,2.336094342271515,,,,,262,E-8
City,Albany,1995,16343,16305,38,7366,3954,3408,4,7108,3.502579418951941,2.293894203714125,,,,,258,E-8
City,Albany,1996,16211,16174,37,7344,3955,3385,4,7090,3.458605664488017,2.281241184767278,,,,,254,E-8
City,Albany,1997,16307,16271,36,7322,3956,3361,5,7072,3.414367659109533,2.3007635746606336,,,,,250,E-8
City,Albany,1998,16468,16433,35,7297,3954,3338,5,7051,3.371248458270522,2.330591405474401,,,,,246,E-8
City,Albany,1999,16440,16406,34,7279,3959,3314,6,7037,3.324632504464899,2.3313912178485148,,,,,242,E-8
City,Albany,2000,16422,16389,33,7254,3958,3290,6,7016,3.2809484422387647,2.3359464082098063,,,,,238,E-8
City,Albany,2001,16692,16655,37,7302,3997,3298,7,7048,3.478499041358532,2.363081725312145,,,,,254,E-8
City,Albany,2002,16924,16882,42,7355,4053,3293,9,7078,3.7661454792658056,2.385137044362814,,,,,277,E-8
City,Albany,2003,17096,17049,47,7428,4107,3310,11,7128,4.038772213247173,2.391835016835017,,,,,300,E-8
City,Albany,2004,17233,17180,53,7491,4159,3319,13,7169,4.298491523161126,2.3964290696052446,,,,,322,E-8
City,Albany,2005,16889,16831,58,7362,4229,3118,15,7024,4.591143710948112,2.396212984054669,,,,,338,E-8
City,Albany,2006,17015,16952,63,7423,4286,3120,17,7063,4.849791189546006,2.4001132663174287,,,,,360,E-8
City,Albany,2007,17332,17264,68,7520,4343,3158,19,7136,5.106382978723404,2.4192825112107625,,,,,384,E-8
City,Albany,2008,17298,17225,73,7445,4395,3029,21,7043,5.399597044996642,2.445690756779781,,,,,402,E-8
City,Albany,2009,18196,18117,79,7823,4447,3353,23,7363,5.8800971494311645,2.460545973108787,,,,,460,E-8
City,Albany,2010,18539,15377,3162,6712,4442,2245,25,6309,6.004171632896305,2.437311776826756,4222.0,220.0,813.0,1432.0,403,E-8
City,Albany,2011,18646,15752,2894,6806,4504,2277,25,6378,6.288568909785486,2.4697397303229853,4280.0,224.0,825.0,1452.0,428,E-8
City,Albany,2012,19037,16163,2874,6905,4569,2311,25,6468,6.328747284576397,2.4989177489177488,4342.0,227.0,839.0,1472.0,437,E-8
City,Albany,2013,19228,16555,2673,7003,4637,2340,26,6570,6.183064400971016,2.519786910197869,4403.0,234.0,849.0,1491.0,433,E-8
City,Albany,2014,19420,16919,2501,7098,4702,2370,26,6659,6.184840800225411,2.5407718876708216,4463.0,239.0,859.0,1511.0,439,E-8
City,Albany,2015,19784,17350,2434,7197,4772,2399,26,6762,6.04418507711546,2.56580893226856,4526.0,246.0,868.0,1531.0,435,E-8
City,Albany,2016,19953,17625,2328,7296,4841,2429,26,6836,6.30482456140351,2.5782621416032767,4590.0,251.0,878.0,1551.0,460,E-8
City,Albany,2017,20198,17912,2286,7400,4916,2458,26,6940,6.216216216216219,2.580979827089337,4659.0,257.0,887.0,1571.0,460,E-8
City,Albany,2018,20699,18482,2217,7682,4981,2674,27,7214,6.092163499088777,2.561962850013862,4718.0,263.0,894.0,1780.0,468,E-8
City,Albany,2019,21010,18690,2320,7793,5060,2706,27,7326,5.992557423328626,2.5511875511875517,4789.0,271.0,904.0,1802.0,467,E-8
City,Albany,2020,21171,18881,2290,7907,5141,2739,27,7493,5.24,2.5198184972641133,4865.0,276.0,917.0,1822.0,414,E-8
City,Alhambra,1991,82639,80577,2062,29751,15482,14249,20,28410,4.507411515579308,2.836219640971489,,,,,1341,E-8
City,Alhambra,1992,83177,81130,2047,29893,15535,14339,19,28589,4.362225270130131,2.8378047500787016,,,,,1304,E-8
City,Alhambra,1993,83097,81065,2032,29935,15642,14274,19,28672,4.219141473191916,2.8273228236607144,,,,,1263,E-8
City,Alhambra,1994,83610,81593,2017,29968,15696,14253,19,28746,4.077682861719167,2.8384123008418563,,,,,1222,E-8
City,Alhambra,1995,84373,82371,2002,29985,15776,14190,19,28805,3.935300983825246,2.8596077069953134,,,,,1180,E-8
City,Alhambra,1996,83965,81978,1987,29985,15824,14143,18,28848,3.791895947973986,2.841722129783694,,,,,1137,E-8
City,Alhambra,1997,83871,81899,1972,29979,15876,14085,18,28884,3.652556789752827,2.8354452291926324,,,,,1095,E-8
City,Alhambra,1998,84081,82124,1957,29968,15926,14024,18,28917,3.507074212493326,2.8399903171145,,,,,1051,E-8
City,Alhambra,1999,84488,82546,1942,29955,15966,13972,17,28948,3.361709230512435,2.851526875777256,,,,,1007,E-8
City,Alhambra,2000,85536,83609,1927,30048,16005,14026,17,29080,3.2215122470713524,2.875137551581844,,,,,968,E-8
City,Alhambra,2001,86153,84328,1825,30103,16135,13950,18,29089,3.36843503969704,2.8989652445941765,,,,,1014,E-8
City,Alhambra,2002,86499,84805,1694,30154,16284,13851,19,29068,3.601512237182463,2.917469382138434,,,,,1086,E-8
City,Alhambra,2003,86702,85139,1563,30217,16447,13749,21,29057,3.838898633219711,2.9300684860790858,,,,,1160,E-8
City,Alhambra,2004,86771,85339,1432,30311,16612,13677,22,29077,4.071129292995942,2.934931389070399,,,,,1234,E-8
City,Alhambra,2005,86541,85240,1301,30449,16771,13655,23,29139,4.302275936812375,2.9252891314046465,,,,,1310,E-8
City,Alhambra,2006,84944,83774,1170,30511,16935,13552,24,29128,4.532791452263119,2.876064268058226,,,,,1383,E-8
City,Alhambra,2007,84096,83057,1039,30564,17089,13449,26,29109,4.760502552021987,2.8533099728606275,,,,,1455,E-8
City,Alhambra,2008,83551,82642,909,30652,17256,13369,27,29122,4.991517682369829,2.8377858663553326,,,,,1530,E-8
City,Alhambra,2009,83221,82443,778,30776,17418,13330,28,29171,5.21510267741097,2.8261972506941824,,,,,1605,E-8
City,Alhambra,2010,83089,82475,614,30915,17621,13264,30,29217,5.492479378942261,2.8228428654550437,13767.0,3854.0,3698.0,9566.0,1698,E-8
City,Alhambra,2011,83281,82653,628,30921,17613,13278,30,29248,5.410562400957275,2.82593681619256,13754.0,3859.0,3682.0,9596.0,1673,E-8
City,Alhambra,2012,83560,82918,642,30928,17610,13288,30,29291,5.292938437661665,2.8308354101942577,13745.0,3865.0,3680.0,9608.0,1637,E-8
City,Alhambra,2013,83927,83271,656,30945,17602,13313,30,29413,4.950719017611894,2.831095094006052,13729.0,3873.0,3667.0,9646.0,1532,E-8
City,Alhambra,2014,83761,83091,670,30905,17581,13294,30,29410,4.837404950655233,2.8252635158109487,13704.0,3877.0,3654.0,9640.0,1495,E-8
City,Alhambra,2015,83906,83222,684,31030,17573,13427,30,29548,4.776023203351598,2.816501962907811,13687.0,3886.0,3642.0,9785.0,1482,E-8
City,Alhambra,2016,83907,83209,698,31136,17557,13550,29,29716,4.5606372045221,2.800141337999731,13664.0,3893.0,3627.0,9923.0,1420,E-8
City,Alhambra,2017,84057,83345,712,31352,17550,13773,29,29952,4.465424853278899,2.782618856837607,13646.0,3904.0,3615.0,10158.0,1400,E-8
City,Alhambra,2018,83681,82955,726,31377,17578,13770,29,30032,4.286579341555918,2.7622202983484283,13669.0,3909.0,3600.0,10170.0,1345,E-8
City,Alhambra,2019,82963,82223,740,31373,17575,13769,29,30064,4.172377522073123,2.73493214475785,13660.0,3915.0,3591.0,10178.0,1309,E-8
City,Alhambra,2020,82621,81870,751,31466,17601,13836,29,30159,4.15,2.714612553466627,13679.0,3922.0,3662.0,10174.0,1307,E-8
City,Aliso Viejo,2002,42705,42491,214,17358,11353,5993,12,16852,2.915082382762991,2.521421789698552,,,,,506,E-8
City,Aliso Viejo,2003,44162,43917,245,17857,11415,6431,11,17323,2.990423923391387,2.53518443687583,,,,,534,E-8
City,Aliso Viejo,2004,45197,44921,276,18215,11485,6721,9,17657,3.063409278067527,2.544090162541768,,,,,558,E-8
City,Aliso Viejo,2005,45302,44995,307,18281,11509,6764,8,17707,3.1398719982495487,2.541085446433614,,,,,574,E-8
City,Aliso Viejo,2006,45382,45044,338,18346,11534,6806,6,17756,3.215959882263163,2.5368326199594504,,,,,590,E-8
City,Aliso Viejo,2007,45604,45235,369,18424,11571,6848,5,17819,3.2837603126356925,2.5385824120321008,,,,,605,E-8
City,Aliso Viejo,2008,46131,45732,399,18557,11604,6950,3,17934,3.3572236891738965,2.5500167280026766,,,,,623,E-8
City,Aliso Viejo,2009,46751,46321,430,18699,11675,7022,2,18058,3.4279908016471468,2.5651234909735297,,,,,641,E-8
City,Aliso Viejo,2010,47816,47347,469,18861,11788,7073,0,18198,3.515190074757435,2.601769425211561,6850.0,4938.0,666.0,6407.0,663,E-8
City,Aliso Viejo,2011,48621,48153,468,19020,11954,7066,0,18379,3.3701366982124115,2.620001088198487,6915.0,5039.0,664.0,6402.0,641,E-8
City,Aliso Viejo,2012,49557,49090,467,19159,12101,7058,0,18528,3.293491309567309,2.649503454231433,6973.0,5128.0,662.0,6396.0,631,E-8
City,Aliso Viejo,2013,49900,49434,466,19251,12201,7050,0,18531,3.7400654511453912,2.6676380119799257,6990.0,5211.0,660.0,6390.0,720,E-8
City,Aliso Viejo,2014,50269,49804,465,19342,12300,7042,0,18635,3.655257987798577,2.672605312583848,7032.0,5268.0,658.0,6384.0,707,E-8
City,Aliso Viejo,2015,50525,50061,464,19354,12320,7034,0,18684,3.46181667872274,2.6793513166345537,7028.0,5292.0,656.0,6378.0,670,E-8
City,Aliso Viejo,2016,50701,50238,463,19354,12329,7025,0,18732,3.2138059315903744,2.6819346572709803,7025.0,5304.0,654.0,6371.0,622,E-8
City,Aliso Viejo,2017,50818,50356,462,19355,12338,7017,0,18782,2.9604753293722585,2.6810776275157067,7020.0,5318.0,652.0,6365.0,573,E-8
City,Aliso Viejo,2018,51902,51441,461,19992,12349,7643,0,19297,3.476390556222486,2.6657511530289684,7016.0,5333.0,650.0,6993.0,695,E-8
City,Aliso Viejo,2019,51549,51089,460,19992,12358,7634,0,19310,3.411364545818329,2.6457276022786123,7012.0,5346.0,648.0,6986.0,682,E-8
City,Aliso Viejo,2020,51794,51333,461,20189,12368,7821,0,19565,3.09,2.6237158190646563,7007.0,5361.0,646.0,7175.0,624,E-8
City,Alturas,1991,3226,3115,111,1413,1127,194,92,1286,8.987968860580326,2.4222395023328147,,,,,127,E-8
City,Alturas,1992,3242,3135,107,1407,1121,193,93,1273,9.523809523809524,2.462686567164179,,,,,134,E-8
City,Alturas,1993,3268,3164,104,1402,1113,194,95,1261,10.057061340941512,2.5091197462331483,,,,,141,E-8
City,Alturas,1994,3243,3142,101,1397,1109,194,94,1250,10.522548317823908,2.5136,,,,,147,E-8
City,Alturas,1995,3178,3081,97,1394,1105,193,96,1240,11.047345767575322,2.484677419354839,,,,,154,E-8
City,Alturas,1996,3116,3022,94,1386,1096,193,97,1227,11.471861471861471,2.462917685411573,,,,,159,E-8
City,Alturas,1997,3117,3026,91,1383,1091,193,99,1217,12.002892263195951,2.486442070665571,,,,,166,E-8
City,Alturas,1998,3061,2974,87,1376,1086,192,98,1204,12.5,2.4700996677740865,,,,,172,E-8
City,Alturas,1999,2952,2868,84,1373,1081,192,100,1195,12.964311726147123,2.4,,,,,178,E-8
City,Alturas,2000,2900,2819,81,1369,1076,192,101,1184,13.513513513513514,2.3809121621621623,,,,,185,E-8
City,Alturas,2001,2887,2812,75,1369,1076,194,99,1185,13.440467494521547,2.372995780590718,,,,,184,E-8
City,Alturas,2002,2874,2806,68,1372,1081,196,95,1189,13.338192419825074,2.3599663582842725,,,,,183,E-8
City,Alturas,2003,2865,2803,62,1374,1085,197,92,1193,13.173216885007278,2.34953897736798,,,,,181,E-8
City,Alturas,2004,2837,2782,55,1378,1088,200,90,1199,12.989840348330912,2.3202668890742286,,,,,179,E-8
City,Alturas,2005,2833,2785,48,1385,1091,203,91,1207,12.851985559566788,2.307373653686827,,,,,178,E-8
City,Alturas,2006,2833,2792,41,1393,1099,205,89,1216,12.706389088298636,2.296052631578948,,,,,177,E-8
City,Alturas,2007,2835,2800,35,1399,1104,207,88,1223,12.580414581844174,2.289452166802944,,,,,176,E-8
City,Alturas,2008,2821,2793,28,1403,1106,210,87,1230,12.33071988595866,2.270731707317073,,,,,173,E-8
City,Alturas,2009,2812,2791,21,1403,1108,212,83,1232,12.188168210976478,2.2654220779220777,,,,,171,E-8
City,Alturas,2010,2827,2814,13,1407,1111,215,81,1238,12.01137171286425,2.273021001615509,1086.0,25.0,84.0,131.0,169,E-8
City,Alturas,2011,2830,2807,23,1405,1109,215,81,1239,11.814946619217082,2.2655367231638417,1084.0,25.0,84.0,131.0,166,E-8
City,Alturas,2012,2794,2772,22,1403,1108,215,80,1236,11.903064861012114,2.2427184466019416,1083.0,25.0,84.0,131.0,167,E-8
City,Alturas,2013,2789,2771,18,1401,1106,215,80,1215,13.276231263383298,2.280658436213992,1081.0,25.0,84.0,131.0,186,E-8
City,Alturas,2014,2791,2761,30,1400,1106,215,79,1213,13.357142857142856,2.276174773289365,1081.0,25.0,84.0,131.0,187,E-8
City,Alturas,2015,2772,2745,27,1399,1105,215,79,1214,13.223731236597567,2.261120263591433,1080.0,25.0,84.0,131.0,185,E-8
City,Alturas,2016,2768,2744,24,1398,1106,214,78,1205,13.805436337625176,2.2771784232365144,1080.0,26.0,84.0,130.0,193,E-8
City,Alturas,2017,2727,2727,0,1397,1104,215,78,1204,13.815318539727985,2.264950166112957,1078.0,26.0,84.0,131.0,193,E-8
City,Alturas,2018,2734,2734,0,1396,1105,214,77,1197,14.255014326647563,2.284043441938179,1079.0,26.0,84.0,130.0,199,E-8
City,Alturas,2019,2764,2723,41,1395,1103,215,77,1194,14.40860215053763,2.280569514237856,1077.0,26.0,84.0,131.0,201,E-8
City,Alturas,2020,2720,2687,33,1393,1106,211,76,1199,13.93,2.2410341951626354,1080.0,26.0,81.0,130.0,194,E-8
City,Amador City,1991,202,202,0,88,75,11,2,80,9.090909090909092,2.525,,,,,8,E-8
City,Amador City,1992,201,201,0,87,75,10,2,80,8.045977011494253,2.5125,,,,,7,E-8
City,Amador City,1993,198,198,0,87,77,9,1,79,9.195402298850574,2.5063291139240507,,,,,8,E-8
City,Amador City,1994,199,199,0,88,79,8,1,80,9.090909090909092,2.4875,,,,,8,E-8
City,Amador City,1995,197,197,0,88,79,8,1,81,7.954545454545454,2.432098765432099,,,,,7,E-8
City,Amador City,1996,193,193,0,88,80,7,1,81,7.954545454545454,2.382716049382716,,,,,7,E-8
City,Amador City,1997,194,194,0,88,80,7,1,82,6.8181818181818175,2.365853658536585,,,,,6,E-8
City,Amador City,1998,193,193,0,88,83,5,0,81,7.954545454545454,2.382716049382716,,,,,7,E-8
City,Amador City,1999,190,190,0,88,83,5,0,82,6.8181818181818175,2.317073170731707,,,,,6,E-8
City,Amador City,2000,195,195,0,90,86,4,0,84,6.666666666666667,2.321428571428572,,,,,6,E-8
City,Amador City,2001,199,199,0,93,88,5,0,86,7.526881720430108,2.313953488372093,,,,,7,E-8
City,Amador City,2002,203,203,0,97,90,7,0,88,9.278350515463918,2.3068181818181817,,,,,9,E-8
City,Amador City,2003,202,202,0,98,92,6,0,88,10.20408163265306,2.2954545454545454,,,,,10,E-8
City,Amador City,2004,201,201,0,100,94,6,0,88,12.0,2.284090909090909,,,,,12,E-8
City,Amador City,2005,206,206,0,104,98,6,0,90,13.461538461538462,2.2888888888888888,,,,,14,E-8
City,Amador City,2006,202,202,0,105,98,7,0,89,15.23809523809524,2.269662921348315,,,,,16,E-8
