Income Level,Units,RHNA,Percent,Projected Units,On Track Score,Status,Jurisdiction,Geographic Level,County,Region,Cycle,Planning Period,Planning Period Start,Planning Period End,Cycle Started,Snapshot Date,Most Recent,Total Days,Elapsed Days,Percent Elapsed,Tiers Met,Tiers With Goal,Overall Progress,Overall On Track Score,Overall Category,Source Last Updated
Very Low,4,73,0.05,6.740484429065744,0.0923354031378869,Far Off Track,Fillmore,City,Ventura,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.2149889274152042,0.2938025529229935,Far Off Track,2026-07-15 12:00:00
Above Moderate,44,211,0.21,44.0,0.20853080568720378,Behind,Firebaugh,City,Fresno,South San Joaquin Valley,5,12/31/2015 - 12/31/2023,2015-12-31,2023-12-31,True,2026-07-15,True,2922,3849,1.3172484599589322,0,4,0.28924330009914173,0.28924330009914173,Behind,2026-07-15 12:00:00
Low,82,169,0.49,82.0,0.48520710059171596,Behind,Firebaugh,City,Fresno,South San Joaquin Valley,5,12/31/2015 - 12/31/2023,2015-12-31,2023-12-31,True,2026-07-15,True,2922,3849,1.3172484599589322,0,4,0.28924330009914173,0.28924330009914173,Behind,2026-07-15 12:00:00
Moderate,69,204,0.34,69.0,0.3382352941176471,Behind,Firebaugh,City,Fresno,South San Joaquin Valley,5,12/31/2015 - 12/31/2023,2015-12-31,2023-12-31,True,2026-07-15,True,2922,3849,1.3172484599589322,0,4,0.28924330009914173,0.28924330009914173,Behind,2026-07-15 12:00:00
Total,211,712,0.29634831460674155,211.0,0.29634831460674155,Behind,Firebaugh,City,Fresno,South San Joaquin Valley,5,12/31/2015 - 12/31/2023,2015-12-31,2023-12-31,True,2026-07-15,True,2922,3849,1.3172484599589322,0,4,0.28924330009914173,0.28924330009914173,Behind,2026-07-15 12:00:00
Very Low,16,128,0.13,16.0,0.125,Behind,Firebaugh,City,Fresno,South San Joaquin Valley,5,12/31/2015 - 12/31/2023,2015-12-31,2023-12-31,True,2026-07-15,True,2922,3849,1.3172484599589322,0,4,0.28924330009914173,0.28924330009914173,Behind,2026-07-15 12:00:00
Above Moderate,5,229,0.02,15.76051779935275,0.06882322183123471,Far Off Track,Firebaugh,City,Fresno,South San Joaquin Valley,6,12/31/2023 - 12/31/2031,2023-12-31,2031-12-31,True,2026-07-15,True,2922,927,0.31724845995893225,0,4,0.04350199354471236,0.13712278871375352,Far Off Track,2026-07-15 12:00:00
Low,7,46,0.15,22.06472491909385,0.47966793302377936,Far Off Track,Firebaugh,City,Fresno,South San Joaquin Valley,6,12/31/2023 - 12/31/2031,2023-12-31,2031-12-31,True,2026-07-15,True,2922,927,0.31724845995893225,0,4,0.04350199354471236,0.13712278871375352,Far Off Track,2026-07-15 12:00:00
Moderate,0,66,0.0,0.0,0.0,Far Off Track,Firebaugh,City,Fresno,South San Joaquin Valley,6,12/31/2023 - 12/31/2031,2023-12-31,2031-12-31,True,2026-07-15,True,2922,927,0.31724845995893225,0,4,0.04350199354471236,0.13712278871375352,Far Off Track,2026-07-15 12:00:00
Total,12,443,0.02708803611738149,37.8252427184466,0.08538429507550023,Far Off Track,Firebaugh,City,Fresno,South San Joaquin Valley,6,12/31/2023 - 12/31/2031,2023-12-31,2031-12-31,True,2026-07-15,True,2922,927,0.31724845995893225,0,4,0.04350199354471236,0.13712278871375352,Far Off Track,2026-07-15 12:00:00
Very Low,0,102,0.0,0.0,0.0,Far Off Track,Firebaugh,City,Fresno,South San Joaquin Valley,6,12/31/2023 - 12/31/2031,2023-12-31,2031-12-31,True,2026-07-15,True,2922,927,0.31724845995893225,0,4,0.04350199354471236,0.13712278871375352,Far Off Track,2026-07-15 12:00:00
Above Moderate,3565,1699,2.1,3565.0,2.0982931135962333,Met,Folsom,City,Sacramento,Sacramento (Regional),5,10/31/2013 - 05/14/2021,2013-10-31,2021-05-14,True,2026-07-15,True,2752,4640,1.686046511627907,2,4,0.5837976796145252,0.5837976796145252,Behind,2026-07-15 12:00:00
Low,193,854,0.23,193.0,0.2259953161592506,Behind,Folsom,City,Sacramento,Sacramento (Regional),5,10/31/2013 - 05/14/2021,2013-10-31,2021-05-14,True,2026-07-15,True,2752,4640,1.686046511627907,2,4,0.5837976796145252,0.5837976796145252,Behind,2026-07-15 12:00:00
Moderate,1105,862,1.28,1105.0,1.2819025522041763,Met,Folsom,City,Sacramento,Sacramento (Regional),5,10/31/2013 - 05/14/2021,2013-10-31,2021-05-14,True,2026-07-15,True,2752,4640,1.686046511627907,2,4,0.5837976796145252,0.5837976796145252,Behind,2026-07-15 12:00:00
Total,4996,4633,1.0783509605007555,4996.0,1.0783509605007555,Met,Folsom,City,Sacramento,Sacramento (Regional),5,10/31/2013 - 05/14/2021,2013-10-31,2021-05-14,True,2026-07-15,True,2752,4640,1.686046511627907,2,4,0.5837976796145252,0.5837976796145252,Behind,2026-07-15 12:00:00
Very Low,133,1218,0.11,133.0,0.10919540229885058,Behind,Folsom,City,Sacramento,Sacramento (Regional),5,10/31/2013 - 05/14/2021,2013-10-31,2021-05-14,True,2026-07-15,True,2752,4640,1.686046511627907,2,4,0.5837976796145252,0.5837976796145252,Behind,2026-07-15 12:00:00
Above Moderate,3858,1967,1.96,5974.073131955485,3.03714953327681,Met,Folsom,City,Sacramento,Sacramento (Regional),6,05/15/2021 - 05/15/2029,2021-05-15,2029-05-15,True,2026-07-15,True,2922,1887,0.6457905544147844,1,4,0.5851748802280818,0.6379630990670924,Somewhat Off Track,2026-07-15 12:00:00
Low,352,1341,0.26,545.0683624801272,0.4064641032663141,Far Off Track,Folsom,City,Sacramento,Sacramento (Regional),6,05/15/2021 - 05/15/2029,2021-05-15,2029-05-15,True,2026-07-15,True,2922,1887,0.6457905544147844,1,4,0.5851748802280818,0.6379630990670924,Somewhat Off Track,2026-07-15 12:00:00
Moderate,816,829,0.98,1263.5675675675675,1.5242069572588268,On Track,Folsom,City,Sacramento,Sacramento (Regional),6,05/15/2021 - 05/15/2029,2021-05-15,2029-05-15,True,2026-07-15,True,2922,1887,0.6457905544147844,1,4,0.5851748802280818,0.6379630990670924,Somewhat Off Track,2026-07-15 12:00:00
Total,5235,6363,0.8227251296558227,8106.343402225755,1.2739813613430386,On Track,Folsom,City,Sacramento,Sacramento (Regional),6,05/15/2021 - 05/15/2029,2021-05-15,2029-05-15,True,2026-07-15,True,2922,1887,0.6457905544147844,1,4,0.5851748802280818,0.6379630990670924,Somewhat Off Track,2026-07-15 12:00:00
Very Low,209,2226,0.09,323.63434022257553,0.1453882930020555,Far Off Track,Folsom,City,Sacramento,Sacramento (Regional),6,05/15/2021 - 05/15/2029,2021-05-15,2029-05-15,True,2026-07-15,True,2922,1887,0.6457905544147844,1,4,0.5851748802280818,0.6379630990670924,Somewhat Off Track,2026-07-15 12:00:00
Above Moderate,3875,2471,1.57,3875.0,1.5681910157830838,Met,Fontana,City,San Bernardino,Inland Empire,5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,1,4,0.3140537469348697,0.3140537469348697,Behind,2026-07-15 12:00:00
Low,207,974,0.21,207.0,0.21252566735112938,Behind,Fontana,City,San Bernardino,Inland Empire,5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,1,4,0.3140537469348697,0.3140537469348697,Behind,2026-07-15 12:00:00
Moderate,0,1090,0.0,0.0,0.0,Behind,Fontana,City,San Bernardino,Inland Empire,5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,1,4,0.3140537469348697,0.3140537469348697,Behind,2026-07-15 12:00:00
Total,4145,5977,0.6934917182533044,4145.0,0.6934917182533044,Behind,Fontana,City,San Bernardino,Inland Empire,5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,1,4,0.3140537469348697,0.3140537469348697,Behind,2026-07-15 12:00:00
Very Low,63,1442,0.04,63.0,0.043689320388349516,Behind,Fontana,City,San Bernardino,Inland Empire,5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,1,4,0.3140537469348697,0.3140537469348697,Behind,2026-07-15 12:00:00
Above Moderate,4042,6425,0.63,6811.259515570935,1.0601182125402233,On Track,Fontana,City,San Bernardino,Inland Empire,6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.15781098066244767,0.2509010613376501,Far Off Track,2026-07-15 12:00:00
Low,4,2950,0.0,6.740484429065744,0.0022849099759544894,Far Off Track,Fontana,City,San Bernardino,Inland Empire,6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.15781098066244767,0.2509010613376501,Far Off Track,2026-07-15 12:00:00
Moderate,0,3035,0.0,0.0,0.0,Far Off Track,Fontana,City,San Bernardino,Inland Empire,6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.15781098066244767,0.2509010613376501,Far Off Track,2026-07-15 12:00:00
Total,4050,17519,0.23117757862891716,6824.740484429066,0.3895622172743345,Far Off Track,Fontana,City,San Bernardino,Inland Empire,6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.15781098066244767,0.2509010613376501,Far Off Track,2026-07-15 12:00:00
Very Low,4,5109,0.0,6.740484429065744,0.0013193353746458688,Far Off Track,Fontana,City,San Bernardino,Inland Empire,6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.15781098066244767,0.2509010613376501,Far Off Track,2026-07-15 12:00:00
Above Moderate,12,9,1.33,12.0,1.3333333333333333,Met,Fort Bragg,City,Mendocino,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,1,4,0.41666666666666663,0.41666666666666663,Behind,2026-07-15 12:00:00
Low,2,3,0.67,2.0,0.6666666666666666,Behind,Fort Bragg,City,Mendocino,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,1,4,0.41666666666666663,0.41666666666666663,Behind,2026-07-15 12:00:00
Moderate,0,3,0.0,0.0,0.0,Behind,Fort Bragg,City,Mendocino,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,1,4,0.41666666666666663,0.41666666666666663,Behind,2026-07-15 12:00:00
Total,14,20,0.7,14.0,0.7,Behind,Fort Bragg,City,Mendocino,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,1,4,0.41666666666666663,0.41666666666666663,Behind,2026-07-15 12:00:00
Very Low,0,5,0.0,0.0,0.0,Behind,Fort Bragg,City,Mendocino,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,1,4,0.41666666666666663,0.41666666666666663,Behind,2026-07-15 12:00:00
Above Moderate,21,23,0.91,24.292161520190025,1.056180935660436,On Track,Fort Bragg,City,Mendocino,Far North,6,08/15/2019 - 08/15/2027,2019-08-15,2027-08-15,True,2026-07-15,True,2922,2526,0.864476386036961,2,4,0.8407608695652175,0.8801365795724465,Nearly On Track,2026-07-15 12:00:00
Low,52,31,1.68,60.1520190023753,1.9403877097540418,Met,Fort Bragg,City,Mendocino,Far North,6,08/15/2019 - 08/15/2027,2019-08-15,2027-08-15,True,2026-07-15,True,2922,2526,0.864476386036961,2,4,0.8407608695652175,0.8801365795724465,Nearly On Track,2026-07-15 12:00:00
Moderate,52,23,2.26,60.1520190023753,2.615305174016317,Met,Fort Bragg,City,Mendocino,Far North,6,08/15/2019 - 08/15/2027,2019-08-15,2027-08-15,True,2026-07-15,True,2922,2526,0.864476386036961,2,4,0.8407608695652175,0.8801365795724465,Nearly On Track,2026-07-15 12:00:00
Total,152,137,1.1094890510948905,175.82897862232778,1.2834232016228304,Met,Fort Bragg,City,Mendocino,Far North,6,08/15/2019 - 08/15/2027,2019-08-15,2027-08-15,True,2026-07-15,True,2922,2526,0.864476386036961,2,4,0.8407608695652175,0.8801365795724465,Nearly On Track,2026-07-15 12:00:00
Very Low,27,60,0.45,31.232779097387173,0.5205463182897863,Somewhat Off Track,Fort Bragg,City,Mendocino,Far North,6,08/15/2019 - 08/15/2027,2019-08-15,2027-08-15,True,2026-07-15,True,2922,2526,0.864476386036961,2,4,0.8407608695652175,0.8801365795724465,Nearly On Track,2026-07-15 12:00:00
Above Moderate,2,4,0.5,2.0,0.5,Behind,Fort Jones,City,Siskiyou,Far North,5,06/30/2014 - 02/15/2023,2014-06-30,2023-02-15,True,2026-07-15,True,3152,4398,1.3953045685279188,1,4,0.375,0.375,Behind,2026-07-15 12:00:00
Low,0,1,0.0,0.0,0.0,Behind,Fort Jones,City,Siskiyou,Far North,5,06/30/2014 - 02/15/2023,2014-06-30,2023-02-15,True,2026-07-15,True,3152,4398,1.3953045685279188,1,4,0.375,0.375,Behind,2026-07-15 12:00:00
Moderate,2,2,1.0,2.0,1.0,Met,Fort Jones,City,Siskiyou,Far North,5,06/30/2014 - 02/15/2023,2014-06-30,2023-02-15,True,2026-07-15,True,3152,4398,1.3953045685279188,1,4,0.375,0.375,Behind,2026-07-15 12:00:00
Total,4,9,0.4444444444444444,4.0,0.4444444444444444,Behind,Fort Jones,City,Siskiyou,Far North,5,06/30/2014 - 02/15/2023,2014-06-30,2023-02-15,True,2026-07-15,True,3152,4398,1.3953045685279188,1,4,0.375,0.375,Behind,2026-07-15 12:00:00
Very Low,0,2,0.0,0.0,0.0,Behind,Fort Jones,City,Siskiyou,Far North,5,06/30/2014 - 02/15/2023,2014-06-30,2023-02-15,True,2026-07-15,True,3152,4398,1.3953045685279188,1,4,0.375,0.375,Behind,2026-07-15 12:00:00
Above Moderate,0,0,0.0,0.0,,No Allocation,Fort Jones,City,Siskiyou,Far North,6,11/15/2022 - 11/15/2030,2022-11-15,2030-11-15,True,2026-07-15,True,2922,1338,0.45790554414784396,0,2,0.0,0.0,Far Off Track,2026-07-15 12:00:00
Low,0,1,0.0,0.0,0.0,Far Off Track,Fort Jones,City,Siskiyou,Far North,6,11/15/2022 - 11/15/2030,2022-11-15,2030-11-15,True,2026-07-15,True,2922,1338,0.45790554414784396,0,2,0.0,0.0,Far Off Track,2026-07-15 12:00:00
Moderate,1,0,0.0,2.1838565022421523,,No Allocation,Fort Jones,City,Siskiyou,Far North,6,11/15/2022 - 11/15/2030,2022-11-15,2030-11-15,True,2026-07-15,True,2922,1338,0.45790554414784396,0,2,0.0,0.0,Far Off Track,2026-07-15 12:00:00
Total,1,2,0.5,2.1838565022421523,1.0919282511210762,On Track,Fort Jones,City,Siskiyou,Far North,6,11/15/2022 - 11/15/2030,2022-11-15,2030-11-15,True,2026-07-15,True,2922,1338,0.45790554414784396,0,2,0.0,0.0,Far Off Track,2026-07-15 12:00:00
Very Low,0,1,0.0,0.0,0.0,Far Off Track,Fort Jones,City,Siskiyou,Far North,6,11/15/2022 - 11/15/2030,2022-11-15,2030-11-15,True,2026-07-15,True,2922,1338,0.45790554414784396,0,2,0.0,0.0,Far Off Track,2026-07-15 12:00:00
Above Moderate,25,71,0.35,25.0,0.352112676056338,Behind,Fortuna,City,Humboldt,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,0,4,0.2732133541992697,0.2732133541992697,Behind,2026-07-15 12:00:00
Low,0,24,0.0,0.0,0.0,Behind,Fortuna,City,Humboldt,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,0,4,0.2732133541992697,0.2732133541992697,Behind,2026-07-15 12:00:00
Moderate,20,27,0.74,20.0,0.7407407407407407,Behind,Fortuna,City,Humboldt,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,0,4,0.2732133541992697,0.2732133541992697,Behind,2026-07-15 12:00:00
Total,45,161,0.2795031055900621,45.0,0.2795031055900621,Behind,Fortuna,City,Humboldt,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,0,4,0.2732133541992697,0.2732133541992697,Behind,2026-07-15 12:00:00
Very Low,0,39,0.0,0.0,0.0,Behind,Fortuna,City,Humboldt,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,0,4,0.2732133541992697,0.2732133541992697,Behind,2026-07-15 12:00:00
Above Moderate,109,120,0.91,126.89163346613546,1.057430278884462,On Track,Fortuna,City,Humboldt,Far North,6,08/31/2019 - 08/31/2027,2019-08-31,2027-08-31,True,2026-07-15,True,2922,2510,0.8590006844626967,1,4,0.5259963768115942,0.5569417980252902,Somewhat Off Track,2026-07-15 12:00:00
Low,9,46,0.2,10.477290836653387,0.2277671921011606,Far Off Track,Fortuna,City,Humboldt,Far North,6,08/31/2019 - 08/31/2027,2019-08-31,2027-08-31,True,2026-07-15,True,2922,2510,0.8590006844626967,1,4,0.5259963768115942,0.5569417980252902,Somewhat Off Track,2026-07-15 12:00:00
Moderate,71,51,1.39,82.65418326693228,1.620670260135927,Met,Fortuna,City,Humboldt,Far North,6,08/31/2019 - 08/31/2027,2019-08-31,2027-08-31,True,2026-07-15,True,2922,2510,0.8590006844626967,1,4,0.5259963768115942,0.5569417980252902,Somewhat Off Track,2026-07-15 12:00:00
Total,189,290,0.6517241379310345,220.02310756972113,0.7587003709300729,Nearly On Track,Fortuna,City,Humboldt,Far North,6,08/31/2019 - 08/31/2027,2019-08-31,2027-08-31,True,2026-07-15,True,2922,2510,0.8590006844626967,1,4,0.5259963768115942,0.5569417980252902,Somewhat Off Track,2026-07-15 12:00:00
Very Low,0,73,0.0,0.0,0.0,Far Off Track,Fortuna,City,Humboldt,Far North,6,08/31/2019 - 08/31/2027,2019-08-31,2027-08-31,True,2026-07-15,True,2922,2510,0.8590006844626967,1,4,0.5259963768115942,0.5569417980252902,Somewhat Off Track,2026-07-15 12:00:00
Above Moderate,730,119,6.13,730.0,6.1344537815126055,Met,Foster City,City,San Mateo,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,1,4,0.689372108042707,0.689372108042707,Behind,2026-07-15 12:00:00
Low,53,87,0.61,53.0,0.6091954022988506,Behind,Foster City,City,San Mateo,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,1,4,0.689372108042707,0.689372108042707,Behind,2026-07-15 12:00:00
Moderate,39,76,0.51,39.0,0.5131578947368421,Behind,Foster City,City,San Mateo,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,1,4,0.689372108042707,0.689372108042707,Behind,2026-07-15 12:00:00
Total,916,430,2.130232558139535,916.0,2.130232558139535,Met,Foster City,City,San Mateo,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,1,4,0.689372108042707,0.689372108042707,Behind,2026-07-15 12:00:00
Very Low,94,148,0.64,94.0,0.6351351351351351,Behind,Foster City,City,San Mateo,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,1,4,0.689372108042707,0.689372108042707,Behind,2026-07-15 12:00:00
Above Moderate,2,777,0.0,4.63441712926249,0.005964500809861634,Far Off Track,Foster City,City,San Mateo,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.02717638804595326,0.06297335913582508,Far Off Track,2026-07-15 12:00:00
Low,21,299,0.07,48.661379857256144,0.16274708982359914,Far Off Track,Foster City,City,San Mateo,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.02717638804595326,0.06297335913582508,Far Off Track,2026-07-15 12:00:00
Moderate,5,300,0.02,11.586042823156225,0.038620142743854086,Far Off Track,Foster City,City,San Mateo,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.02717638804595326,0.06297335913582508,Far Off Track,2026-07-15 12:00:00
Total,38,1896,0.020042194092827006,88.05392545598731,0.04644194380590048,Far Off Track,Foster City,City,San Mateo,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.02717638804595326,0.06297335913582508,Far Off Track,2026-07-15 12:00:00
Very Low,10,520,0.02,23.17208564631245,0.04456170316598548,Far Off Track,Foster City,City,San Mateo,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.02717638804595326,0.06297335913582508,Far Off Track,2026-07-15 12:00:00
Above Moderate,209,151,1.38,209.0,1.3841059602649006,Met,Fountain Valley,City,Orange,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,2,4,0.6944589308996089,0.6944589308996089,Behind,2026-07-15 12:00:00
Low,35,59,0.59,35.0,0.5932203389830508,Behind,Fountain Valley,City,Orange,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,2,4,0.6944589308996089,0.6944589308996089,Behind,2026-07-15 12:00:00
Moderate,12,65,0.18,12.0,0.18461538461538463,Behind,Fountain Valley,City,Orange,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,2,4,0.6944589308996089,0.6944589308996089,Behind,2026-07-15 12:00:00
Total,383,358,1.0698324022346368,383.0,1.0698324022346368,Met,Fountain Valley,City,Orange,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,2,4,0.6944589308996089,0.6944589308996089,Behind,2026-07-15 12:00:00
Very Low,127,83,1.53,127.0,1.5301204819277108,Met,Fountain Valley,City,Orange,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,2,4,0.6944589308996089,0.6944589308996089,Behind,2026-07-15 12:00:00
Above Moderate,371,1912,0.19,625.1799307958478,0.3269769512530585,Far Off Track,Fountain Valley,City,Orange,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.12927598362168027,0.2178456886635235,Far Off Track,2026-07-15 12:00:00
Low,150,786,0.19,252.7681660899654,0.32158799756993056,Far Off Track,Fountain Valley,City,Orange,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.12927598362168027,0.2178456886635235,Far Off Track,2026-07-15 12:00:00
Moderate,42,834,0.05,70.77508650519032,0.08486221403500038,Far Off Track,Fountain Valley,City,Orange,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.12927598362168027,0.2178456886635235,Far Off Track,2026-07-15 12:00:00
Total,670,4839,0.13845835916511676,1129.0311418685121,0.23331910350661544,Far Off Track,Fountain Valley,City,Orange,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.12927598362168027,0.2178456886635235,Far Off Track,2026-07-15 12:00:00
Very Low,107,1307,0.08,180.30795847750866,0.13795559179610456,Far Off Track,Fountain Valley,City,Orange,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.12927598362168027,0.2178456886635235,Far Off Track,2026-07-15 12:00:00
Above Moderate,256,243,1.05,256.0,1.0534979423868314,Met,Fowler,City,Fresno,South San Joaquin Valley,5,12/31/2015 - 12/31/2023,2015-12-31,2023-12-31,True,2026-07-15,True,2922,3849,1.3172484599589322,2,4,0.5120481927710843,0.5120481927710843,Behind,2026-07-15 12:00:00
Low,4,83,0.05,4.0,0.04819277108433735,Behind,Fowler,City,Fresno,South San Joaquin Valley,5,12/31/2015 - 12/31/2023,2015-12-31,2023-12-31,True,2026-07-15,True,2922,3849,1.3172484599589322,2,4,0.5120481927710843,0.5120481927710843,Behind,2026-07-15 12:00:00
Moderate,230,75,3.07,230.0,3.066666666666667,Met,Fowler,City,Fresno,South San Joaquin Valley,5,12/31/2015 - 12/31/2023,2015-12-31,2023-12-31,True,2026-07-15,True,2922,3849,1.3172484599589322,2,4,0.5120481927710843,0.5120481927710843,Behind,2026-07-15 12:00:00
Total,490,524,0.9351145038167938,490.0,0.9351145038167938,Behind,Fowler,City,Fresno,South San Joaquin Valley,5,12/31/2015 - 12/31/2023,2015-12-31,2023-12-31,True,2026-07-15,True,2922,3849,1.3172484599589322,2,4,0.5120481927710843,0.5120481927710843,Behind,2026-07-15 12:00:00
Very Low,0,123,0.0,0.0,0.0,Behind,Fowler,City,Fresno,South San Joaquin Valley,5,12/31/2015 - 12/31/2023,2015-12-31,2023-12-31,True,2026-07-15,True,2922,3849,1.3172484599589322,2,4,0.5120481927710843,0.5120481927710843,Behind,2026-07-15 12:00:00
Above Moderate,171,141,1.21,539.009708737864,3.8227638917579005,Met,Fowler,City,Fresno,South San Joaquin Valley,6,12/31/2023 - 12/31/2031,2023-12-31,2031-12-31,True,2026-07-15,True,2922,927,0.31724845995893225,1,4,0.3288540500186637,0.49855613177404023,Far Off Track,2026-07-15 12:00:00
Low,1,57,0.02,3.1521035598705502,0.0553000624538693,Far Off Track,Fowler,City,Fresno,South San Joaquin Valley,6,12/31/2023 - 12/31/2031,2023-12-31,2031-12-31,True,2026-07-15,True,2922,927,0.31724845995893225,1,4,0.3288540500186637,0.49855613177404023,Far Off Track,2026-07-15 12:00:00
Moderate,14,47,0.3,44.1294498381877,0.9389244646422915,Nearly On Track,Fowler,City,Fresno,South San Joaquin Valley,6,12/31/2023 - 12/31/2031,2023-12-31,2031-12-31,True,2026-07-15,True,2922,927,0.31724845995893225,1,4,0.3288540500186637,0.49855613177404023,Far Off Track,2026-07-15 12:00:00
Total,186,339,0.5486725663716814,586.2912621359224,1.7294727496634879,On Track,Fowler,City,Fresno,South San Joaquin Valley,6,12/31/2023 - 12/31/2031,2023-12-31,2031-12-31,True,2026-07-15,True,2922,927,0.31724845995893225,1,4,0.3288540500186637,0.49855613177404023,Far Off Track,2026-07-15 12:00:00
Very Low,0,94,0.0,0.0,0.0,Far Off Track,Fowler,City,Fresno,South San Joaquin Valley,6,12/31/2023 - 12/31/2031,2023-12-31,2031-12-31,True,2026-07-15,True,2922,927,0.31724845995893225,1,4,0.3288540500186637,0.49855613177404023,Far Off Track,2026-07-15 12:00:00
