Income Level,Units,RHNA,Percent,Projected Units,On Track Score,Status,Jurisdiction,Geographic Level,County,Region,Cycle,Planning Period,Planning Period Start,Planning Period End,Cycle Started,Snapshot Date,Most Recent,Total Days,Elapsed Days,Percent Elapsed,Tiers Met,Tiers With Goal,Overall Progress,Overall On Track Score,Overall Category,Source Last Updated
Moderate,6,55,0.11,10.110726643598616,0.18383139351997482,Far Off Track,Agoura Hills,City,Los Angeles,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,1,4,0.39860912272329596,0.5004243694333741,Somewhat Off Track,2026-07-15 12:00:00
Total,337,318,1.059748427672956,567.885813148789,1.7858044438641163,Met,Agoura Hills,City,Los Angeles,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,1,4,0.39860912272329596,0.5004243694333741,Somewhat Off Track,2026-07-15 12:00:00
Very Low,44,127,0.35,74.14532871972318,0.5838214859820723,Somewhat Off Track,Agoura Hills,City,Los Angeles,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,1,4,0.39860912272329596,0.5004243694333741,Somewhat Off Track,2026-07-15 12:00:00
Above Moderate,1968,748,2.63,1968.0,2.6310160427807485,Met,Alameda,City,Alameda,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,1,4,0.6792439987862021,0.6792439987862021,Behind,2026-07-15 12:00:00
Low,161,248,0.65,161.0,0.6491935483870968,Behind,Alameda,City,Alameda,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,1,4,0.6792439987862021,0.6792439987862021,Behind,2026-07-15 12:00:00
Moderate,132,283,0.47,132.0,0.4664310954063604,Behind,Alameda,City,Alameda,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,1,4,0.6792439987862021,0.6792439987862021,Behind,2026-07-15 12:00:00
Total,2528,1723,1.4672083575159605,2528.0,1.4672083575159605,Met,Alameda,City,Alameda,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,1,4,0.6792439987862021,0.6792439987862021,Behind,2026-07-15 12:00:00
Very Low,267,444,0.6,267.0,0.6013513513513513,Behind,Alameda,City,Alameda,Bay Area,5,01/31/2015 - 01/31/2023,2015-01-31,2023-01-31,True,2026-07-15,True,2922,4183,1.4315537303216974,1,4,0.6792439987862021,0.6792439987862021,Behind,2026-07-15 12:00:00
Above Moderate,192,2246,0.09,444.90404440919906,0.19808728602368614,Far Off Track,Alameda,City,Alameda,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.07884617230763019,0.1827030257596316,Far Off Track,2026-07-15 12:00:00
Low,47,818,0.06,108.90880253766852,0.13314034540057276,Far Off Track,Alameda,City,Alameda,Bay Area,6,01/31/2023 - 01/31/2031,2023-01-31,2031-01-31,True,2026-07-15,True,2922,1261,0.43155373032169747,0,4,0.07884617230763019,0.1827030257596316,Far Off Track,2026-07-15 12:00:00
