Geographic Level,Location,Date,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More
State,Iowa,2010-02,350,270,20,42,18
State,Kansas,2010-02,238,212,20,6,0
State,Kentucky,2010-02,447,401,6,0,40
State,Louisiana,2010-02,829,782,16,4,27
State,Maine,2010-02,218,203,2,8,5
State,Maryland,2010-02,622,563,0,3,56
State,Massachusetts,2010-02,534,291,20,14,209
State,Michigan,2010-02,469,459,2,3,5
State,Minnesota,2010-02,461,354,0,0,107
State,Mississippi,2010-02,344,331,8,0,5
State,Missouri,2010-02,533,442,8,8,75
State,Montana,2010-02,118,78,2,38,0
State,Nebraska,2010-02,359,319,12,4,24
State,Nevada,2010-02,632,519,0,18,95
State,New Hampshire,2010-02,369,104,4,0,261
State,New Jersey,2010-02,711,520,24,6,161
State,New Mexico,2010-02,349,331,0,3,15
State,New York,2010-02,1078,691,96,8,283
State,North Carolina,2010-02,2943,2160,24,16,743
State,North Dakota,2010-02,15,15,0,0,0
State,Ohio,2010-02,856,747,12,0,97
State,Oklahoma,2010-02,847,566,4,32,245
State,Oregon,2010-02,550,516,10,3,21
State,Pennsylvania,2010-02,1332,1207,20,29,76
State,Rhode Island,2010-02,46,46,0,0,0
State,South Carolina,2010-02,1363,1225,2,0,136
State,South Dakota,2010-02,117,112,0,0,5
State,Tennessee,2010-02,1729,850,8,15,856
State,Texas,2010-02,6265,5857,50,23,335
State,Utah,2010-02,714,551,10,19,134
State,Vermont,2010-02,370,364,2,4,0
State,Virginia,2010-02,1291,1049,2,16,224
State,Washington,2010-02,1385,1190,38,16,141
State,West Virginia,2010-02,118,71,0,0,47
State,Wisconsin,2010-02,506,430,14,0,62
State,Wyoming,2010-02,387,69,0,7,311
Metro,Bakersfield,2010-03,178,151,8,8,11
Metro,Chico,2010-03,51,15,0,0,36
Metro,El Centro,2010-03,7,7,0,0,0
Metro,Fresno,2010-03,122,115,4,3,0
Metro,Hanford,2010-03,10,10,0,0,0
Metro,Inland Empire,2010-03,521,494,0,20,7
Metro,Los Angeles,2010-03,968,382,28,14,544
Metro,Madera,2010-03,7,7,0,0,0
Metro,Merced,2010-03,20,15,0,0,5
Metro,Modesto,2010-03,17,17,0,0,0
Metro,Napa,2010-03,7,7,0,0,0
Metro,Redding,2010-03,20,20,0,0,0
Metro,Sacramento,2010-03,225,180,2,6,37
Metro,Salinas,2010-03,3,3,0,0,0
Metro,San Diego,2010-03,296,209,6,0,81
Metro,San Francisco,2010-03,389,273,2,0,114
Metro,San Jose,2010-03,151,141,0,0,10
Metro,San Luis Obispo,2010-03,40,28,0,7,5
Metro,Santa Barbara,2010-03,105,17,0,0,88
Metro,Santa Cruz,2010-03,0,0,0,0,0
Metro,Santa Rosa,2010-03,110,25,0,0,85
Metro,Stockton,2010-03,100,100,0,0,0
Metro,Vallejo,2010-03,14,14,0,0,0
Metro,Ventura,2010-03,57,33,2,12,10
Metro,Visalia,2010-03,66,66,0,0,0
Metro,Yuba City,2010-03,6,6,0,0,0
State,Alabama,2010-03,1343,979,2,7,355
State,Alaska,2010-03,46,44,2,0,0
State,Arizona,2010-03,1678,1439,6,0,233
State,Arkansas,2010-03,597,488,10,88,11
State,California,2010-03,3661,2506,52,70,1033
State,Colorado,2010-03,1463,976,22,19,446
State,Connecticut,2010-03,277,233,6,0,38
State,Delaware,2010-03,348,326,4,0,18
State,Florida,2010-03,4358,3468,26,55,809
