Geographic Level,Location,Date,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More
State,West Virginia,2013-05,256,195,0,0,61
State,Wisconsin,2013-05,1296,1003,28,15,250
State,Wyoming,2013-05,333,158,2,0,173
Metro,Bakersfield,2013-06,209,167,2,4,36
Metro,Chico,2013-06,51,20,2,15,14
Metro,El Centro,2013-06,25,25,0,0,0
Metro,Fresno,2013-06,181,147,2,10,22
Metro,Hanford,2013-06,19,19,0,0,0
Metro,Inland Empire,2013-06,1142,645,66,25,306
Metro,Los Angeles,2013-06,1823,563,36,62,1162
Metro,Madera,2013-06,12,12,0,0,0
Metro,Merced,2013-06,12,12,0,0,0
Metro,Modesto,2013-06,20,20,0,0,0
Metro,Napa,2013-06,3,3,0,0,0
Metro,Redding,2013-06,21,21,0,0,0
Metro,Sacramento,2013-06,353,353,0,0,0
Metro,Salinas,2013-06,7,7,0,0,0
Metro,San Diego,2013-06,463,311,0,20,132
Metro,San Francisco,2013-06,558,276,12,0,270
Metro,San Jose,2013-06,902,250,2,4,646
Metro,San Luis Obispo,2013-06,26,26,0,0,0
Metro,Santa Barbara,2013-06,33,29,0,4,0
Metro,Santa Cruz,2013-06,52,18,0,10,24
Metro,Santa Rosa,2013-06,25,25,0,0,0
Metro,Stockton,2013-06,109,109,0,0,0
Metro,Vallejo,2013-06,61,61,0,0,0
Metro,Ventura,2013-06,49,29,0,3,17
Metro,Visalia,2013-06,53,53,0,0,0
Metro,Yuba City,2013-06,7,7,0,0,0
State,Alabama,2013-06,903,782,0,0,121
State,Alaska,2013-06,130,112,2,3,13
State,Arizona,2013-06,2083,1889,36,14,144
State,Arkansas,2013-06,749,471,10,7,261
State,California,2013-06,6371,3363,222,157,2629
State,Colorado,2013-06,2305,1501,36,4,764
State,Connecticut,2013-06,398,213,2,0,183
State,Delaware,2013-06,403,326,14,8,55
State,Florida,2013-06,6403,5009,28,33,1333
State,Georgia,2013-06,3588,2091,6,7,1484
State,Hawaii,2013-06,208,196,0,3,9
State,Idaho,2013-06,831,729,10,15,77
State,Illinois,2013-06,1306,922,24,21,339
State,Indiana,2013-06,1710,1219,26,31,434
State,Iowa,2013-06,779,645,16,15,103
State,Kansas,2013-06,472,344,60,6,62
State,Kentucky,2013-06,928,647,60,12,209
State,Louisiana,2013-06,1193,1111,18,3,61
State,Maine,2013-06,325,280,4,15,26
State,Maryland,2013-06,1930,1112,12,0,806
State,Massachusetts,2013-06,1724,659,14,30,1021
State,Michigan,2013-06,1406,1333,8,7,58
State,Minnesota,2013-06,1256,1079,12,39,126
State,Mississippi,2013-06,474,457,0,12,5
State,Missouri,2013-06,1045,747,48,94,156
State,Montana,2013-06,265,209,10,20,26
State,Nebraska,2013-06,785,545,6,4,230
State,Nevada,2013-06,1550,828,22,145,555
State,New Hampshire,2013-06,392,219,4,0,169
State,New Jersey,2013-06,1832,897,34,19,882
State,New Mexico,2013-06,502,317,2,12,171
State,New York,2013-06,4115,859,120,70,3066
State,North Carolina,2013-06,4311,3143,6,8,1154
State,North Dakota,2013-06,1123,455,4,8,656
State,Ohio,2013-06,1636,1203,48,14,371
State,Oklahoma,2013-06,926,913,2,0,11
State,Oregon,2013-06,1187,841,16,25,305
State,Pennsylvania,2013-06,2100,1541,18,40,501
State,Rhode Island,2013-06,75,71,4,0,0
State,South Carolina,2013-06,2063,1766,0,7,290
State,South Dakota,2013-06,405,260,2,12,131
State,Tennessee,2013-06,1872,1353,40,10,469
State,Texas,2013-06,11311,7956,92,11,3252
State,Utah,2013-06,1403,1168,8,33,194
State,Vermont,2013-06,212,104,10,3,95
State,Virginia,2013-06,2688,1912,4,4,768
State,Washington,2013-06,2432,1870,34,55,473
State,West Virginia,2013-06,164,155,4,0,5
State,Wisconsin,2013-06,1255,937,40,23,255
State,Wyoming,2013-06,259,242,0,12,5
Metro,Bakersfield,2013-07,219,165,2,3,49
Metro,Chico,2013-07,37,37,0,0,0
Metro,El Centro,2013-07,23,23,0,0,0
Metro,Fresno,2013-07,217,183,0,4,30
Metro,Hanford,2013-07,15,15,0,0,0
Metro,Inland Empire,2013-07,701,561,2,12,126
Metro,Los Angeles,2013-07,2835,617,44,39,2135
Metro,Madera,2013-07,29,29,0,0,0
Metro,Merced,2013-07,9,9,0,0,0
Metro,Modesto,2013-07,16,16,0,0,0
Metro,Napa,2013-07,7,5,2,0,0
Metro,Redding,2013-07,21,21,0,0,0
Metro,Sacramento,2013-07,553,283,0,0,270
Metro,Salinas,2013-07,12,12,0,0,0
Metro,San Diego,2013-07,955,175,4,31,745
Metro,San Francisco,2013-07,620,324,14,3,279
Metro,San Jose,2013-07,723,133,16,12,562
Metro,San Luis Obispo,2013-07,35,35,0,0,0
Metro,Santa Barbara,2013-07,56,56,0,0,0
Metro,Santa Cruz,2013-07,7,7,0,0,0
Metro,Santa Rosa,2013-07,23,23,0,0,0
Metro,Stockton,2013-07,74,74,0,0,0
Metro,Vallejo,2013-07,41,41,0,0,0
Metro,Ventura,2013-07,100,32,0,3,65
Metro,Visalia,2013-07,62,62,0,0,0
Metro,Yuba City,2013-07,5,5,0,0,0
State,Alabama,2013-07,949,839,2,0,108
State,Alaska,2013-07,113,82,4,4,23
State,Arizona,2013-07,2290,1679,36,0,575
State,Arkansas,2013-07,624,466,40,43,75
State,California,2013-07,7682,3185,84,107,4306
State,Colorado,2013-07,2265,1736,48,19,462
State,Connecticut,2013-07,456,245,10,6,195
State,Delaware,2013-07,435,363,12,10,50
State,Florida,2013-07,7248,5170,84,83,1911
State,Georgia,2013-07,2808,2171,12,15,610
State,Hawaii,2013-07,219,217,2,0,0
State,Idaho,2013-07,836,749,2,3,82
State,Illinois,2013-07,1336,1007,22,13,294
State,Indiana,2013-07,1688,1310,72,28,278
State,Iowa,2013-07,1136,855,24,10,247
State,Kansas,2013-07,513,414,72,7,20
State,Kentucky,2013-07,783,543,18,14,208
State,Louisiana,2013-07,1185,1113,16,3,53
State,Maine,2013-07,271,217,24,3,27
State,Maryland,2013-07,1254,980,4,9,261
State,Massachusetts,2013-07,1880,622,30,35,1193
State,Michigan,2013-07,1445,1347,42,19,37
State,Minnesota,2013-07,2071,1165,8,174,724
State,Mississippi,2013-07,440,413,4,18,5
State,Missouri,2013-07,916,804,34,8,70
State,Montana,2013-07,541,234,10,29,268
State,Nebraska,2013-07,735,478,14,0,243
State,Nevada,2013-07,700,696,4,0,0
State,New Hampshire,2013-07,316,223,0,24,69
State,New Jersey,2013-07,2261,981,74,13,1193
State,New Mexico,2013-07,350,333,0,10,7
State,New York,2013-07,2847,866,90,103,1788
State,North Carolina,2013-07,3828,3064,14,7,743
State,North Dakota,2013-07,1002,411,4,16,571
State,Ohio,2013-07,2288,1401,32,46,809
State,Oklahoma,2013-07,1200,1056,6,8,130
State,Oregon,2013-07,1633,879,40,14,700
State,Pennsylvania,2013-07,2596,1645,36,83,832
State,Rhode Island,2013-07,76,72,4,0,0
State,South Carolina,2013-07,2018,1565,4,11,438
State,South Dakota,2013-07,402,309,4,0,89
State,Tennessee,2013-07,2017,1478,10,4,525
State,Texas,2013-07,12780,8367,142,126,4145
State,Utah,2013-07,1433,1109,6,72,246
State,Vermont,2013-07,141,100,10,6,25
State,Virginia,2013-07,2904,2071,8,11,814
State,Washington,2013-07,2795,1905,38,7,845
State,West Virginia,2013-07,183,178,0,0,5
State,Wisconsin,2013-07,1507,987,26,35,459
State,Wyoming,2013-07,193,160,0,12,21
Metro,Bakersfield,2013-08,270,169,0,3,98
Metro,Chico,2013-08,30,30,0,0,0
Metro,El Centro,2013-08,38,38,0,0,0
Metro,Fresno,2013-08,295,209,0,0,86
Metro,Hanford,2013-08,16,16,0,0,0
Metro,Inland Empire,2013-08,625,537,2,0,86
Metro,Los Angeles,2013-08,1430,801,46,40,543
Metro,Madera,2013-08,25,25,0,0,0
Metro,Merced,2013-08,19,13,0,0,6
Metro,Modesto,2013-08,9,9,0,0,0
Metro,Napa,2013-08,6,4,2,0,0
Metro,Redding,2013-08,8,8,0,0,0
Metro,Sacramento,2013-08,437,329,12,0,96
Metro,Salinas,2013-08,16,11,0,0,5
Metro,San Diego,2013-08,373,183,2,34,154
Metro,San Francisco,2013-08,1384,314,18,0,1052
Metro,San Jose,2013-08,821,201,0,3,617
Metro,San Luis Obispo,2013-08,38,38,0,0,0
Metro,Santa Barbara,2013-08,27,27,0,0,0
Metro,Santa Cruz,2013-08,18,13,0,0,5
Metro,Santa Rosa,2013-08,56,56,0,0,0
Metro,Stockton,2013-08,77,77,0,0,0
Metro,Vallejo,2013-08,64,64,0,0,0
Metro,Ventura,2013-08,79,55,0,0,24
Metro,Visalia,2013-08,88,88,0,0,0
Metro,Yuba City,2013-08,15,15,0,0,0
State,Alabama,2013-08,838,771,6,0,61
State,Alaska,2013-08,85,66,2,4,13
State,Arizona,2013-08,1783,1532,4,8,239
State,Arkansas,2013-08,499,484,2,13,0
State,California,2013-08,6595,3616,82,80,2817
State,Colorado,2013-08,2903,1481,24,4,1394
State,Connecticut,2013-08,902,223,0,40,639
State,Delaware,2013-08,397,324,24,0,49
State,Florida,2013-08,6645,5215,60,92,1278
State,Georgia,2013-08,2563,2081,4,62,416
State,Hawaii,2013-08,231,224,0,7,0
State,Idaho,2013-08,734,646,4,0,84
State,Illinois,2013-08,1276,1039,10,50,177
State,Indiana,2013-08,1671,1219,24,14,414
State,Iowa,2013-08,1235,915,18,17,285
State,Kansas,2013-08,607,379,48,3,177
State,Kentucky,2013-08,763,600,20,15,128
State,Louisiana,2013-08,1371,1114,24,4,229
State,Maine,2013-08,279,252,6,0,21
State,Maryland,2013-08,1416,1025,0,0,391
State,Massachusetts,2013-08,1060,641,52,28,339
State,Michigan,2013-08,1530,1395,10,17,108
State,Minnesota,2013-08,1846,1125,4,6,711
State,Mississippi,2013-08,858,375,2,15,466
State,Missouri,2013-08,1058,788,40,10,220
State,Montana,2013-08,713,222,16,31,444
State,Nebraska,2013-08,772,515,14,0,243
State,Nevada,2013-08,1315,913,20,16,366
State,New Hampshire,2013-08,208,195,2,4,7
State,New Jersey,2013-08,2688,880,50,23,1735
State,New Mexico,2013-08,554,297,0,16,241
State,New York,2013-08,4003,839,88,59,3017
State,North Carolina,2013-08,4298,3357,6,4,931
State,North Dakota,2013-08,988,519,10,6,453
State,Ohio,2013-08,2428,1216,52,79,1081
State,Oklahoma,2013-08,1226,983,12,0,231
State,Oregon,2013-08,1274,847,10,7,410
State,Pennsylvania,2013-08,1706,1415,38,63,190
State,Rhode Island,2013-08,82,75,2,0,5
State,South Carolina,2013-08,1814,1671,2,7,134
State,South Dakota,2013-08,705,339,2,0,364
State,Tennessee,2013-08,1820,1361,44,17,398
State,Texas,2013-08,10699,8143,146,76,2334
State,Utah,2013-08,1679,1157,44,54,424
State,Vermont,2013-08,103,63,10,0,30
State,Virginia,2013-08,2488,2024,2,8,454
State,Washington,2013-08,2735,1608,32,27,1068
State,West Virginia,2013-08,260,247,0,3,10
State,Wisconsin,2013-08,1317,1007,38,24,248
State,Wyoming,2013-08,167,136,2,12,17
Metro,Bakersfield,2013-09,112,99,2,0,11
Metro,Chico,2013-09,20,20,0,0,0
Metro,El Centro,2013-09,18,18,0,0,0
Metro,Fresno,2013-09,117,114,0,3,0
Metro,Hanford,2013-09,13,13,0,0,0
Metro,Inland Empire,2013-09,519,483,0,15,21
Metro,Los Angeles,2013-09,1463,598,50,46,769
Metro,Madera,2013-09,14,14,0,0,0
Metro,Merced,2013-09,4,4,0,0,0
Metro,Modesto,2013-09,24,24,0,0,0
Metro,Napa,2013-09,6,6,0,0,0
Metro,Redding,2013-09,22,22,0,0,0
Metro,Sacramento,2013-09,262,254,8,0,0
Metro,Salinas,2013-09,29,29,0,0,0
Metro,San Diego,2013-09,232,190,8,13,21
Metro,San Francisco,2013-09,449,220,12,0,217
Metro,San Jose,2013-09,247,115,0,0,132
Metro,San Luis Obispo,2013-09,32,32,0,0,0
Metro,Santa Barbara,2013-09,24,24,0,0,0
Metro,Santa Cruz,2013-09,17,17,0,0,0
Metro,Santa Rosa,2013-09,31,31,0,0,0
Metro,Stockton,2013-09,41,41,0,0,0
Metro,Vallejo,2013-09,29,29,0,0,0
Metro,Ventura,2013-09,37,13,2,8,14
Metro,Visalia,2013-09,42,42,0,0,0
Metro,Yuba City,2013-09,4,4,0,0,0
State,Alabama,2013-09,944,700,2,20,222
State,Alaska,2013-09,126,71,20,28,7
State,Arizona,2013-09,1421,1333,6,11,71
State,Arkansas,2013-09,538,389,26,8,115
State,California,2013-09,3909,2557,82,85,1185
State,Colorado,2013-09,2069,1166,10,19,874
State,Connecticut,2013-09,328,217,6,13,92
State,Delaware,2013-09,443,345,12,18,68
State,Florida,2013-09,6369,4371,38,100,1860
State,Georgia,2013-09,2909,2017,4,16,872
State,Hawaii,2013-09,859,196,0,4,659
State,Idaho,2013-09,801,590,18,6,187
State,Illinois,2013-09,2446,880,20,65,1481
State,Indiana,2013-09,1637,1103,22,6,506
State,Iowa,2013-09,898,677,18,4,199
State,Kansas,2013-09,593,418,42,18,115
State,Kentucky,2013-09,811,487,22,3,299
State,Louisiana,2013-09,1126,1013,26,3,84
State,Maine,2013-09,297,248,10,7,32
State,Maryland,2013-09,2321,820,12,0,1489
State,Massachusetts,2013-09,1248,666,54,20,508
State,Michigan,2013-09,1908,1366,56,31,455
State,Minnesota,2013-09,2012,1113,4,0,895
State,Mississippi,2013-09,412,380,4,22,6
State,Missouri,2013-09,1263,766,32,35,430
State,Montana,2013-09,183,156,16,4,7
State,Nebraska,2013-09,607,471,4,0,132
State,Nevada,2013-09,815,685,2,0,128
State,New Hampshire,2013-09,243,229,4,0,10
State,New Jersey,2013-09,1736,883,48,34,771
State,New Mexico,2013-09,390,324,6,7,53
State,New York,2013-09,2681,945,114,65,1557
State,North Carolina,2013-09,3896,2767,14,0,1115
State,North Dakota,2013-09,789,388,4,29,368
State,Ohio,2013-09,2130,1066,40,80,944
State,Oklahoma,2013-09,1098,938,44,8,108
State,Oregon,2013-09,877,688,6,15,168
State,Pennsylvania,2013-09,1862,1466,42,40,314
State,Rhode Island,2013-09,58,51,4,3,0
State,South Carolina,2013-09,2418,1606,4,4,804
State,South Dakota,2013-09,769,381,2,36,350
State,Tennessee,2013-09,1862,1291,8,25,538
State,Texas,2013-09,12323,6668,74,221,5360
State,Utah,2013-09,1124,1025,6,27,66
State,Vermont,2013-09,165,141,6,3,15
State,Virginia,2013-09,2675,1643,6,8,1018
State,Washington,2013-09,2642,1216,28,19,1379
State,West Virginia,2013-09,174,169,0,0,5
State,Wisconsin,2013-09,1491,914,24,23,530
State,Wyoming,2013-09,162,124,6,32,0
Metro,Bakersfield,2013-10,193,142,2,3,46
Metro,Chico,2013-10,38,34,4,0,0
Metro,El Centro,2013-10,9,9,0,0,0
Metro,Fresno,2013-10,195,157,0,4,34
Metro,Hanford,2013-10,27,22,0,0,5
Metro,Inland Empire,2013-10,905,496,18,0,391
Metro,Los Angeles,2013-10,1724,795,76,39,814
Metro,Madera,2013-10,8,8,0,0,0
Metro,Merced,2013-10,10,10,0,0,0
Metro,Modesto,2013-10,24,24,0,0,0
Metro,Napa,2013-10,2,2,0,0,0
Metro,Redding,2013-10,12,12,0,0,0
Metro,Sacramento,2013-10,303,294,4,0,5
Metro,Salinas,2013-10,7,7,0,0,0
Metro,San Diego,2013-10,774,200,16,15,543
Metro,San Francisco,2013-10,1321,346,18,0,957
Metro,San Jose,2013-10,373,132,0,7,234
Metro,San Luis Obispo,2013-10,23,23,0,0,0
Metro,Santa Barbara,2013-10,11,11,0,0,0
Metro,Santa Cruz,2013-10,19,14,0,0,5
Metro,Santa Rosa,2013-10,38,38,0,0,0
Metro,Stockton,2013-10,72,72,0,0,0
Metro,Vallejo,2013-10,32,32,0,0,0
Metro,Ventura,2013-10,44,19,0,3,22
Metro,Visalia,2013-10,85,85,0,0,0
Metro,Yuba City,2013-10,6,6,0,0,0
State,Alabama,2013-10,958,765,2,0,191
State,Alaska,2013-10,87,85,2,0,0
State,Arizona,2013-10,1671,1482,4,4,181
State,Arkansas,2013-10,498,352,28,40,78
State,California,2013-10,6405,3095,138,71,3101
State,Colorado,2013-10,2166,1306,38,45,777
State,Connecticut,2013-10,544,262,28,7,247
State,Delaware,2013-10,365,256,12,0,97
State,Florida,2013-10,7668,4812,30,119,2707
State,Georgia,2013-10,3193,2042,8,30,1113
State,Hawaii,2013-10,367,201,2,0,164
State,Idaho,2013-10,867,613,4,3,247
State,Illinois,2013-10,1892,1100,20,16,756
State,Indiana,2013-10,1752,1059,16,23,654
State,Iowa,2013-10,1747,890,84,26,747
State,Kansas,2013-10,661,413,50,7,191
State,Kentucky,2013-10,736,511,16,0,209
State,Louisiana,2013-10,1097,978,22,3,94
State,Maine,2013-10,291,269,10,0,12
State,Maryland,2013-10,1680,1000,0,0,680
State,Massachusetts,2013-10,985,690,42,42,211
State,Michigan,2013-10,1558,1222,20,11,305
State,Minnesota,2013-10,1561,1027,8,24,502
State,Mississippi,2013-10,393,366,2,15,10
State,Missouri,2013-10,1607,783,36,89,699
State,Montana,2013-10,249,196,8,4,41
State,Nebraska,2013-10,745,579,0,3,163
State,Nevada,2013-10,794,750,4,0,40
State,New Hampshire,2013-10,267,229,12,0,26
State,New Jersey,2013-10,1993,1070,96,21,806
State,New Mexico,2013-10,616,288,4,8,316
State,New York,2013-10,2854,1107,142,69,1536
State,North Carolina,2013-10,4599,2761,20,55,1763
State,North Dakota,2013-10,1459,378,8,13,1060
State,Ohio,2013-10,2146,1152,36,69,889
State,Oklahoma,2013-10,976,911,18,3,44
State,Oregon,2013-10,1320,824,18,11,467
State,Pennsylvania,2013-10,1999,1363,36,54,546
State,Rhode Island,2013-10,93,91,2,0,0
State,South Carolina,2013-10,2197,1765,12,6,414
State,South Dakota,2013-10,366,298,4,0,64
State,Tennessee,2013-10,2434,1562,26,10,836
State,Texas,2013-10,15256,7436,138,83,7599
State,Utah,2013-10,1499,1117,14,70,298
State,Vermont,2013-10,144,106,2,3,33
State,Virginia,2013-10,1852,1678,2,0,172
State,Washington,2013-10,2904,1519,40,16,1329
State,West Virginia,2013-10,166,156,0,0,10
State,Wisconsin,2013-10,1582,949,78,48,507
State,Wyoming,2013-10,175,128,2,8,37
Metro,Bakersfield,2013-11,154,112,8,3,31
Metro,Chico,2013-11,15,15,0,0,0
Metro,El Centro,2013-11,14,14,0,0,0
Metro,Fresno,2013-11,133,101,0,0,32
Metro,Hanford,2013-11,18,18,0,0,0
Metro,Inland Empire,2013-11,470,381,0,0,89
Metro,Los Angeles,2013-11,2081,524,44,25,1488
Metro,Madera,2013-11,19,19,0,0,0
Metro,Merced,2013-11,4,4,0,0,0
Metro,Modesto,2013-11,28,17,0,0,11
Metro,Napa,2013-11,0,0,0,0,0
Metro,Redding,2013-11,15,15,0,0,0
Metro,Sacramento,2013-11,243,243,0,0,0
Metro,Salinas,2013-11,1,1,0,0,0
Metro,San Diego,2013-11,1265,178,12,0,1075
Metro,San Francisco,2013-11,782,233,10,0,539
Metro,San Jose,2013-11,418,151,0,3,264
Metro,San Luis Obispo,2013-11,35,35,0,0,0
Metro,Santa Barbara,2013-11,12,12,0,0,0
Metro,Santa Cruz,2013-11,22,14,0,3,5
Metro,Santa Rosa,2013-11,288,18,0,0,270
Metro,Stockton,2013-11,63,63,0,0,0
Metro,Vallejo,2013-11,9,9,0,0,0
Metro,Ventura,2013-11,53,30,0,0,23
Metro,Visalia,2013-11,46,42,4,0,0
Metro,Yuba City,2013-11,21,21,0,0,0
State,Alabama,2013-11,694,505,2,44,143
State,Alaska,2013-11,58,52,6,0,0
State,Arizona,2013-11,1174,1057,4,7,106
State,Arkansas,2013-11,568,334,14,14,206
State,California,2013-11,6474,2476,78,34,3886
State,Colorado,2013-11,2160,967,30,3,1160
State,Connecticut,2013-11,290,216,6,3,65
State,Delaware,2013-11,381,278,18,12,73
State,Florida,2013-11,6879,4071,42,109,2657
State,Georgia,2013-11,2667,1810,12,7,838
State,Hawaii,2013-11,218,212,2,4,0
State,Idaho,2013-11,600,501,10,3,86
State,Illinois,2013-11,1730,848,14,35,833
State,Indiana,2013-11,1701,936,12,7,746
State,Iowa,2013-11,1036,728,22,3,283
State,Kansas,2013-11,612,376,12,0,224
State,Kentucky,2013-11,672,403,30,6,233
State,Louisiana,2013-11,988,901,24,3,60
State,Maine,2013-11,287,251,6,11,19
State,Maryland,2013-11,1455,755,0,0,700
State,Massachusetts,2013-11,881,582,16,25,258
State,Michigan,2013-11,1073,899,12,0,162
State,Minnesota,2013-11,1260,761,2,32,465
State,Mississippi,2013-11,374,315,26,28,5
State,Missouri,2013-11,1004,576,2,8,418
State,Montana,2013-11,563,112,16,0,435
State,Nebraska,2013-11,438,345,6,0,87
State,Nevada,2013-11,658,573,0,0,85
State,New Hampshire,2013-11,180,154,10,11,5
State,New Jersey,2013-11,1728,872,68,23,765
State,New Mexico,2013-11,269,245,0,4,20
State,New York,2013-11,2618,769,60,62,1727
State,North Carolina,2013-11,3645,2238,8,42,1357
State,North Dakota,2013-11,637,376,2,3,256
State,Ohio,2013-11,1266,873,24,27,342
State,Oklahoma,2013-11,1041,766,16,3,256
State,Oregon,2013-11,823,522,16,19,266
State,Pennsylvania,2013-11,1814,1362,26,55,371
State,Rhode Island,2013-11,73,69,4,0,0
State,South Carolina,2013-11,1770,1553,2,3,212
State,South Dakota,2013-11,218,197,2,4,15
State,Tennessee,2013-11,1431,1085,44,85,217
State,Texas,2013-11,10349,6294,130,85,3840
State,Utah,2013-11,1084,784,4,27,269
State,Vermont,2013-11,92,67,0,3,22
State,Virginia,2013-11,1990,1416,6,11,557
State,Washington,2013-11,2264,1142,38,11,1073
State,West Virginia,2013-11,152,135,2,0,15
State,Wisconsin,2013-11,1216,583,24,24,585
State,Wyoming,2013-11,144,107,0,0,37
Metro,Bakersfield,2013-12,200,126,2,4,68
Metro,Chico,2013-12,26,20,6,0,0
Metro,El Centro,2013-12,74,74,0,0,0
Metro,Fresno,2013-12,343,296,2,3,42
Metro,Hanford,2013-12,32,32,0,0,0
Metro,Inland Empire,2013-12,790,546,0,4,240
Metro,Los Angeles,2013-12,2809,653,34,13,2109
Metro,Madera,2013-12,56,56,0,0,0
Metro,Merced,2013-12,6,6,0,0,0
Metro,Modesto,2013-12,16,16,0,0,0
Metro,Napa,2013-12,3,3,0,0,0
Metro,Redding,2013-12,10,10,0,0,0
Metro,Sacramento,2013-12,305,237,0,12,56
Metro,Salinas,2013-12,7,5,2,0,0
Metro,San Diego,2013-12,794,277,4,10,503
Metro,San Francisco,2013-12,889,328,10,13,538
Metro,San Jose,2013-12,1625,127,0,16,1482
Metro,San Luis Obispo,2013-12,20,16,0,4,0
Metro,Santa Barbara,2013-12,39,33,6,0,0
Metro,Santa Cruz,2013-12,16,11,0,0,5
Metro,Santa Rosa,2013-12,41,41,0,0,0
Metro,Stockton,2013-12,32,32,0,0,0
Metro,Vallejo,2013-12,33,20,0,0,13
Metro,Ventura,2013-12,242,34,0,3,205
Metro,Visalia,2013-12,136,118,0,0,18
Metro,Yuba City,2013-12,13,13,0,0,0
State,Alabama,2013-12,874,504,6,36,328
State,Alaska,2013-12,35,31,4,0,0
State,Arizona,2013-12,2804,1369,54,21,1360
State,Arkansas,2013-12,367,261,44,0,62
State,California,2013-12,8796,3270,66,82,5378
State,Colorado,2013-12,2410,1152,0,10,1248
State,Connecticut,2013-12,331,248,6,6,71
State,Delaware,2013-12,358,279,6,0,73
State,Florida,2013-12,5660,3650,54,98,1858
State,Georgia,2013-12,2208,1701,30,6,471
State,Hawaii,2013-12,315,198,0,0,117
State,Idaho,2013-12,642,388,2,76,176
State,Illinois,2013-12,900,606,14,21,259
State,Indiana,2013-12,1310,617,14,16,663
State,Iowa,2013-12,370,258,8,7,97
State,Kansas,2013-12,447,238,14,0,195
State,Kentucky,2013-12,793,365,12,25,391
State,Louisiana,2013-12,1236,820,10,3,403
State,Maine,2013-12,214,126,2,0,86
State,Maryland,2013-12,1173,708,2,3,460
State,Massachusetts,2013-12,1489,502,28,45,914
State,Michigan,2013-12,947,730,4,19,194
State,Minnesota,2013-12,1277,572,2,4,699
State,Mississippi,2013-12,287,260,2,19,6
State,Missouri,2013-12,692,559,14,14,105
State,Montana,2013-12,83,69,14,0,0
State,Nebraska,2013-12,469,328,2,0,139
State,Nevada,2013-12,591,480,4,73,34
State,New Hampshire,2013-12,144,99,6,8,31
State,New Jersey,2013-12,2047,828,74,26,1119
State,New Mexico,2013-12,281,250,2,9,20
State,New York,2013-12,3919,544,56,103,3216
State,North Carolina,2013-12,4086,2427,24,15,1620
State,North Dakota,2013-12,251,143,0,8,100
State,Ohio,2013-12,1306,707,16,42,541
State,Oklahoma,2013-12,850,661,6,3,180
State,Oregon,2013-12,1029,554,6,6,463
State,Pennsylvania,2013-12,1472,1134,30,65,243
State,Rhode Island,2013-12,73,67,6,0,0
State,South Carolina,2013-12,1686,1377,8,3,298
State,South Dakota,2013-12,195,83,0,3,109
State,Tennessee,2013-12,1608,1005,10,6,587
State,Texas,2013-12,12733,6039,132,260,6302
State,Utah,2013-12,1376,647,28,28,673
State,Vermont,2013-12,126,69,0,0,57
State,Virginia,2013-12,1871,1302,2,11,556
State,Washington,2013-12,2163,1109,36,62,956
State,West Virginia,2013-12,107,100,2,0,5
State,Wisconsin,2013-12,958,352,20,12,574
State,Wyoming,2013-12,92,87,0,0,5
Metro,Bakersfield,2014-01,249,241,0,0,8
Metro,Chico,2014-01,36,36,0,0,0
Metro,El Centro,2014-01,27,27,0,0,0
Metro,Fresno,2014-01,106,85,2,3,16
Metro,Hanford,2014-01,43,35,0,0,8
Metro,Inland Empire,2014-01,580,492,8,0,80
Metro,Los Angeles,2014-01,1306,635,36,56,579
Metro,Madera,2014-01,20,20,0,0,0
Metro,Merced,2014-01,25,20,0,0,5
Metro,Modesto,2014-01,29,29,0,0,0
Metro,Napa,2014-01,16,10,6,0,0
Metro,Redding,2014-01,26,26,0,0,0
Metro,Sacramento,2014-01,256,254,2,0,0
Metro,Salinas,2014-01,4,2,2,0,0
Metro,San Diego,2014-01,322,261,12,23,26
Metro,San Francisco,2014-01,297,200,2,4,91
Metro,San Jose,2014-01,313,113,2,20,178
Metro,San Luis Obispo,2014-01,24,24,0,0,0
Metro,Santa Barbara,2014-01,12,12,0,0,0
Metro,Santa Cruz,2014-01,19,19,0,0,0
Metro,Santa Rosa,2014-01,38,38,0,0,0
Metro,Stockton,2014-01,91,71,0,0,20
Metro,Vallejo,2014-01,57,57,0,0,0
Metro,Ventura,2014-01,82,61,0,0,21
Metro,Visalia,2014-01,70,70,0,0,0
Metro,Yuba City,2014-01,14,14,0,0,0
State,Alabama,2014-01,835,570,38,16,211
State,Alaska,2014-01,79,71,8,0,0
State,Arizona,2014-01,1735,1305,10,28,392
State,Arkansas,2014-01,347,305,18,0,24
State,California,2014-01,4221,3008,72,109,1032
State,Colorado,2014-01,1539,1173,26,4,336
State,Connecticut,2014-01,533,194,6,0,333
State,Delaware,2014-01,309,296,6,0,7
State,Florida,2014-01,7585,4253,50,122,3160
State,Georgia,2014-01,1723,1657,4,10,52
State,Hawaii,2014-01,140,140,0,0,0
State,Idaho,2014-01,446,402,4,0,40
State,Illinois,2014-01,660,339,26,15,280
State,Indiana,2014-01,960,553,10,15,382
State,Iowa,2014-01,309,239,4,0,66
State,Kansas,2014-01,701,258,18,3,422
State,Kentucky,2014-01,939,329,32,10,568
State,Louisiana,2014-01,1003,862,16,63,62
State,Maine,2014-01,178,164,0,3,11
State,Maryland,2014-01,1233,792,0,0,441
State,Massachusetts,2014-01,1076,433,18,24,601
State,Michigan,2014-01,869,542,2,0,325
State,Minnesota,2014-01,638,368,0,20,250
