Geographic Level,Location,Year,Total Population,Percent Change in Population,Numeric Change in Population,Births,Deaths,Natural Increase,Net Migration,Net Foreign Immigration,Net Domestic Migration,Crude Birth Rate,Crude Death Rate,Crude Migration Rate,Crude Domestic Migration Rate,Crude Foreign Migration Rate,Source
County,Alameda,2011,1530915.0,,,19220.0,9076.0,10144.0,7814.0,9020.0,-1206.0,12.554583370076069,5.928480679854858,5.104137068354546,-0.7877641802451475,5.8919012485996936,Census
County,Alameda,2012,1553764.0,1.49,22849.0,18979.0,9207.0,9772.0,13106.0,9087.0,4019.0,12.214853735831182,5.925610324347842,8.435000424774934,2.586621906544366,5.848378518230568,Census
County,Alameda,2013,1579593.0,1.66,25829.0,19469.0,9620.0,9849.0,15902.0,10177.0,5725.0,12.325326840521576,6.090176393539349,10.067150208946227,3.6243513360720137,6.442798872874215,Census
County,Alameda,2014,1607792.0,1.79,28199.0,19496.0,9248.0,10248.0,17834.0,11514.0,6320.0,12.125946639863864,5.751987819319912,11.09223083582951,3.930856727735926,7.161374108093584,Census
County,Alameda,2015,1634538.0,1.66,26746.0,19489.0,9602.0,9887.0,16878.0,14029.0,2849.0,11.923246813472677,5.8744428089160365,10.325853543937187,1.743000162737116,8.582853381200069,Census
County,Alameda,2016,1650950.0,1.0,16412.0,19503.0,9569.0,9934.0,6554.0,12725.0,-6171.0,11.813198461491869,5.796056815772737,3.969835549229231,-3.7378479057512335,7.707683454980465,Census
County,Alameda,2017,1660196.0,0.56,9246.0,19594.0,9974.0,9620.0,-326.0,11386.0,-11712.0,11.802220942587502,6.007724389168508,-0.196362357215654,-7.054588735305952,6.858226378090298,Census
County,Alameda,2018,1666756.0,0.4,6560.0,18497.0,10330.0,8167.0,-1572.0,8473.0,-10045.0,11.097605168362977,6.197667805005652,-0.9431494471896306,-6.026676970114402,5.083527522924771,Census
County,Alameda,2019,1671329.0,0.27,4573.0,18628.0,10944.0,7684.0,-3086.0,8540.0,-11626.0,11.145621239145614,6.548082394310157,-1.8464347833370929,-6.956140891470201,5.109706108133109,Census
County,Alameda,2021,1644275.0,-1.62,-27054.0,16770.0,11645.0,5125.0,-38869.0,4233.0,-43102.0,10.199023885907163,7.08214866734579,-23.6389898283438,-26.213376716181905,2.574386887838105,Census
County,Alameda,2022,1633138.0,-0.68,-11137.0,16981.0,11038.0,5943.0,-17767.0,15793.0,-33560.0,10.397774101147606,6.758767477090117,-10.879056148347537,-20.54939631555937,9.670340167211835,Census
County,Alameda,2023,1633055.0,-0.01,-83.0,16585.0,10868.0,5717.0,-6132.0,20121.0,-26253.0,10.155812265967771,6.655011619326967,-3.754925584257726,-16.07600478857111,12.321079204313389,Census
County,Alameda,2024,1636624.0,0.22,3569.0,16179.0,10477.0,5702.0,-2314.0,19919.0,-22233.0,9.8855937588597,6.40159254660814,-1.413886146115418,-13.584671861099434,12.170785714984016,Census
County,Alameda,2025,1636630.0,0.0,6.0,16073.0,10480.0,5593.0,-5587.0,10373.0,-15960.0,9.820790282470687,6.403402112878292,-3.413722099680441,-9.751745965795568,6.338023866115127,Census
County,Alameda,1991,1293363.0,,,23261.0,9682.0,13579.0,3684.0,8600.0,-4916.0,17.984896738193378,7.48591076132532,2.848388271506144,-3.800943741238925,6.649332012745069,DoF
County,Alameda,1992,1312023.0,1.44,18660.0,23182.0,9622.0,13560.0,5100.0,8716.0,-3616.0,17.668897572679747,7.333712899850079,3.887126978719123,-2.756049246087912,6.643176224807035,DoF
County,Alameda,1993,1324224.0,0.93,12201.0,22279.0,9646.0,12633.0,-432.0,9436.0,-9868.0,16.824192885795757,7.284266106036441,-0.3262287951283166,-7.4519114590884925,7.125682663960176,DoF
County,Alameda,1994,1330821.0,0.5,6597.0,21758.0,9899.0,11859.0,-5262.0,7689.0,-12951.0,16.349306180169982,7.438265551866103,-3.95395023072224,-9.731586742319216,5.7776365115969766,DoF
County,Alameda,1995,1335230.0,0.33,4409.0,21142.0,9856.0,11286.0,-6877.0,6344.0,-13221.0,15.83397616889974,7.381499816511013,-5.150423522539188,-9.901664881705774,4.751241359166585,DoF
County,Alameda,1996,1345787.0,0.79,10557.0,20495.0,9799.0,10696.0,-139.0,8681.0,-8820.0,15.229007264894072,7.281241385152331,-0.1032852895740559,-6.553786000310598,6.450500710736543,DoF
County,Alameda,1997,1376952.0,2.32,31165.0,20907.0,9681.0,11226.0,19939.0,9027.0,10912.0,15.183535809527127,7.030746169801127,14.480533816719827,7.924749737100496,6.555784079619333,DoF
County,Alameda,1998,1401090.0,1.75,24138.0,20811.0,9801.0,11010.0,13128.0,7267.0,5861.0,14.85343553947284,6.995267969937691,9.369847761385778,4.183171673482788,5.18667608790299,DoF
County,Alameda,1999,1423529.0,1.6,22439.0,20655.0,9881.0,10774.0,11665.0,5687.0,5978.0,14.509714940826637,6.941200354892665,8.194423857891199,4.199422702312352,3.995001155578848,DoF
County,Alameda,2000,1453116.0,2.08,29587.0,21327.0,9658.0,11669.0,17918.0,10425.0,7493.0,14.67673606236529,6.646406756239695,12.33074303772032,5.156505055343138,7.174237982377181,DoF
County,Alameda,2001,1465564.0,0.86,12448.0,22264.0,10015.0,12249.0,4547.0,13735.0,-9188.0,15.191421186655786,6.83354667554607,3.1025598336203672,-6.269258797295785,9.371818630916152,DoF
County,Alameda,2002,1468468.0,0.2,2904.0,21837.0,9490.0,12347.0,-9443.0,11178.0,-20621.0,14.87059983601958,6.462517399085304,-6.43051125390543,-14.042525952216868,7.612014698311437,DoF
County,Alameda,2003,1467187.0,-0.09,-1281.0,21781.0,9624.0,12157.0,-13438.0,10248.0,-23686.0,14.845415069790011,6.559491053287686,-9.159023355577714,-16.143818068180813,6.984794712603097,DoF
County,Alameda,2004,1465540.0,-0.11,-1647.0,21261.0,9441.0,11820.0,-13467.0,10647.0,-24114.0,14.50728059281903,6.441994077268447,-9.189104357438216,-16.45400330253695,7.264898945098735,DoF
County,Alameda,2005,1459882.0,-0.39,-5658.0,20730.0,9428.0,11302.0,-16960.0,9524.0,-26484.0,14.19977779025976,6.458056199062664,-11.617377294877258,-18.141192233344885,6.52381493846763,DoF
County,Alameda,2006,1464839.0,0.34,4957.0,20965.0,9345.0,11620.0,-6663.0,9773.0,-16436.0,14.312153076208377,6.379540686723933,-4.548622749667369,-11.22034571717438,6.6717229675070095,DoF
County,Alameda,2007,1476401.0,0.79,11562.0,21277.0,9255.0,12022.0,-460.0,11225.0,-11685.0,14.411396361828528,6.268622142629272,-0.3115684695418115,-7.914516449121885,7.602947979580073,DoF
County,Alameda,2008,1491781.0,1.04,15380.0,21471.0,9453.0,12018.0,3362.0,11813.0,-8451.0,14.392863295617788,6.336721006635693,2.253682008284058,-5.665040646046571,7.918722654330629,DoF
County,Alameda,2009,1503827.0,0.81,12046.0,20716.0,8743.0,11973.0,73.0,9314.0,-9241.0,13.775520721465966,5.813833639108754,0.0485428177576277,-6.1449887520306525,6.193531569788281,DoF
County,Alameda,2010,1513493.0,0.64,9666.0,19698.0,8752.0,10946.0,-1280.0,7690.0,-8970.0,13.014926398734584,5.782649804128595,-0.8457257483186245,-5.926687470639111,5.080961722320486,DoF
County,Alameda,2011,1535986.0,1.49,22493.0,19217.0,9073.0,10144.0,9225.0,7098.0,2127.0,12.511181742541924,5.9069548810991765,6.005914116404706,1.3847782466767276,4.621135869727979,DoF
County,Alameda,2012,1560713.0,1.61,24727.0,18972.0,9252.0,9720.0,15007.0,7515.0,7492.0,12.155982554127505,5.9280598034359935,9.61547702876826,4.8003700872614,4.815106941506863,DoF
County,Alameda,2013,1584064.0,1.5,23351.0,19464.0,9668.0,9796.0,13555.0,7822.0,5733.0,12.287382327986748,6.103288756009858,8.5571037533837,3.6191719526483777,4.937931800735324,DoF
County,Alameda,2014,1608614.0,1.55,24550.0,19486.0,9302.0,10184.0,14366.0,8744.0,5622.0,12.113533762605572,5.782617831251002,8.930669508036111,3.4949341482792016,5.435735359756909,DoF
County,Alameda,2015,1630159.0,1.34,21545.0,19495.0,9647.0,9848.0,11697.0,8562.0,3135.0,11.95895615090307,5.9178276474871465,7.175373690541843,1.9231252902324247,5.252248400309417,DoF
County,Alameda,2016,1647332.0,1.05,17173.0,19585.0,9632.0,9953.0,7220.0,10149.0,-2929.0,11.888920994675026,5.847030228272139,4.382844502504656,-1.7780265301712102,6.160871032675867,DoF
County,Alameda,2017,1659750.0,0.75,12418.0,19501.0,10052.0,9449.0,2969.0,9522.0,-6553.0,11.749359843349904,6.056333785208616,1.7888236180147612,-3.948184967615605,5.737008585630366,DoF
