Year,Geographic Level,Location,Race/Ethnicity,Tenure,Number Over 30%,Number Over 50%,Share Over 30%,Share Over 50%
2012,County,Alpine,Hispanic,Rented,1007,692,0.477025107,0.327806727
2012,County,Alpine,Hispanic,Total,2064,825,0.427152318,0.170736755
2012,County,Alpine,Multiracial,Owned,186,97,0.137472284,0.071692535
2012,County,Alpine,Multiracial,Owned With Mortgage,97,97,0.144560358,0.144560358
2012,County,Alpine,Multiracial,Owned Without Mortgage,89,0,0.130498534,0.0
2012,County,Alpine,Multiracial,Rented,57,0,0.289340102,0.0
2012,County,Alpine,Multiracial,Total,243,97,0.156774194,0.062580645
2012,County,Alpine,NHPI,Rented,9,0,1.0,0.0
2012,County,Alpine,NHPI,Total,9,0,1.0,0.0
2012,County,Alpine,White,Owned,16081,7491,0.351789464,0.163873819
2012,County,Alpine,White,Owned With Mortgage,12253,5728,0.450113878,0.2104180439999999
2012,County,Alpine,White,Owned Without Mortgage,3828,1763,0.207030827,0.095348837
2012,County,Alpine,White,Rented,8148,3514,0.596835628,0.257398183
2012,County,Alpine,White,Total,24229,11005,0.408142982,0.185381713
2012,County,Amador,AIAN,Owned,258,119,0.2015625,0.09296875
2012,County,Amador,AIAN,Owned With Mortgage,138,25,0.204747774,0.037091988
2012,County,Amador,AIAN,Owned Without Mortgage,120,94,0.198019802,0.155115512
2012,County,Amador,AIAN,Rented,488,78,0.421416235,0.067357513
2012,County,Amador,AIAN,Total,746,197,0.305988515,0.080803938
2012,County,Amador,All,Owned,17802,7983,0.346706657,0.155474623
2012,County,Amador,All,Owned With Mortgage,13427,6126,0.441227695,0.201307877
2012,County,Amador,All,Owned Without Mortgage,4375,1857,0.2091800139999999,0.088787951
2012,County,Amador,All,Rented,10007,4284,0.571861249,0.244813989
2012,County,Amador,All,Total,27809,12267,0.403936379,0.178182875
2012,County,Amador,Asian,Owned,133,56,0.689119171,0.29015544
2012,County,Amador,Asian,Owned With Mortgage,75,56,1.0,0.746666667
2012,County,Amador,Asian,Owned Without Mortgage,58,0,0.491525424,0.0
2012,County,Amador,Asian,Rented,80,0,0.519480519,0.0
2012,County,Amador,Asian,Total,213,56,0.613832853,0.161383285
2012,County,Amador,Black,Owned,87,87,1.0,1.0
2012,County,Amador,Black,Owned With Mortgage,87,87,1.0,1.0
2012,County,Amador,Black,Rented,218,0,1.0,0.0
2012,County,Amador,Black,Total,305,87,1.0,0.285245902
2012,County,Amador,Hispanic,Owned,1057,133,0.388460125,0.048879089
2012,County,Amador,Hispanic,Owned With Mortgage,777,133,0.456521739,0.078143361
2012,County,Amador,Hispanic,Owned Without Mortgage,280,0,0.274779195,0.0
2012,County,Amador,Hispanic,Rented,1007,692,0.477025107,0.327806727
2012,County,Amador,Hispanic,Total,2064,825,0.427152318,0.170736755
2012,County,Amador,Multiracial,Owned,186,97,0.137472284,0.071692535
2012,County,Amador,Multiracial,Owned With Mortgage,97,97,0.144560358,0.144560358
2012,County,Amador,Multiracial,Owned Without Mortgage,89,0,0.130498534,0.0
2012,County,Amador,Multiracial,Rented,57,0,0.289340102,0.0
2012,County,Amador,Multiracial,Total,243,97,0.156774194,0.062580645
2012,County,Amador,NHPI,Rented,9,0,1.0,0.0
2012,County,Amador,NHPI,Total,9,0,1.0,0.0
2012,County,Amador,White,Owned,16081,7491,0.351789464,0.163873819
2012,County,Amador,White,Owned With Mortgage,12253,5728,0.450113878,0.2104180439999999
2012,County,Amador,White,Owned Without Mortgage,3828,1763,0.207030827,0.095348837
2012,County,Amador,White,Rented,8148,3514,0.596835628,0.257398183
2012,County,Amador,White,Total,24229,11005,0.408142982,0.185381713
2012,County,Butte,AIAN,Owned,23,23,0.073015873015873,0.073015873015873
2012,County,Butte,AIAN,Owned With Mortgage,0,0,0.0,0.0
2012,County,Butte,AIAN,Owned Without Mortgage,23,23,0.1543624161073825,0.1543624161073825
2012,County,Butte,AIAN,Rented,87,40,0.4416243651979696,0.2030456854822334
2012,County,Butte,AIAN,Total,110,63,0.2148437498710937,0.1230468751210937
2012,County,Butte,All,Owned,14340,7434,0.2851518223459802,0.1478255678658354
2012,County,Butte,All,Owned With Mortgage,12215,6107,0.3657842728741091,0.182877163797808
2012,County,Butte,All,Owned Without Mortgage,2125,1327,0.1257768571106836,0.0785439476380586
2012,County,Butte,All,Rented,20674,11217,0.6541370033389338,0.3549121973576649
2012,County,Butte,All,Total,35014,18651,0.4275526897177815,0.2277456225134441
2012,County,Butte,Asian,Owned,104,104,0.0954128440100917,0.0954128440100917
2012,County,Butte,Asian,Owned With Mortgage,104,104,0.1139101861675794,0.1139101861675794
2012,County,Butte,Asian,Owned Without Mortgage,0,0,0.0,0.0
2012,County,Butte,Asian,Rented,506,285,0.4720149252826492,0.2658582086585821
2012,County,Butte,Asian,Total,610,389,0.2821461605948196,0.1799259944579093
2012,County,Butte,Black,Owned,219,75,0.5420792082722772,0.1856435645891089
2012,County,Butte,Black,Owned With Mortgage,219,75,0.6996805111948883,0.2396166135878594
2012,County,Butte,Black,Owned Without Mortgage,0,0,0.0,0.0
2012,County,Butte,Black,Rented,621,191,0.531223268,0.163387511
2012,County,Butte,Black,Total,840,266,0.5340114429866497,0.1691036233051494
2012,County,Butte,Hispanic,Owned,1719,1132,0.4269746648055141,0.2811723793502235
2012,County,Butte,Hispanic,Owned With Mortgage,1651,1132,0.522303069104081,0.3581145205716545
2012,County,Butte,Hispanic,Owned Without Mortgage,68,0,0.078612716684393,0.0
2012,County,Butte,Hispanic,Rented,2749,1060,0.7362078198778789,0.2838778790524906
2012,County,Butte,Hispanic,Total,4468,2192,0.575773195883763,0.2824742268787371
2012,County,Butte,Multiracial,Owned,456,371,0.3965217394347826,0.3226086953043477
2012,County,Butte,Multiracial,Owned With Mortgage,373,288,0.6006441224814816,0.4637681157214171
2012,County,Butte,Multiracial,Owned Without Mortgage,83,83,0.156899811,0.156899811
2012,County,Butte,Multiracial,Rented,1045,354,0.6019585250944701,0.2039170508686636
2012,County,Butte,Multiracial,Total,1501,725,0.5200970202231463,0.2512127511593902
